Gene,true_log2_fc,sparsity_g1,sparsity_g2,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gene72,0,0.843373493975904,0.900212314225053,0.0205165417001483,0.472632142054942,0.157,0.1,1
Gene73,0,0.887550200803213,0.904458598726115,0.435688688843645,0.459316361984356,0.112,0.096,1
Gene74,0,0.887550200803213,0.923566878980892,0.0309180575010981,0.970134265755715,0.112,0.076,1
Gene75,-1.25965151327756,0.987951807228916,0.970276008492569,0.0797412846039103,-1.17133495119243,0.012,0.03,1
Gene76,0,0.92570281124498,0.927813163481953,,,,,
Gene77,0,0.927710843373494,0.938428874734607,0.52272906376842,0.410692689577364,0.072,0.062,1
Gene78,0,0.967871485943775,0.963906581740977,0.787016373415798,-0.324464398601181,0.032,0.036,1
Gene79,0,0.771084337349398,0.819532908704883,0.032325682703334,0.464846321999255,0.229,0.18,1
Gene80,0,0.863453815261044,0.895966029723992,,,,,
Gene81,0,0.775100401606426,0.800424628450106,0.276336290795396,0.226309349992144,0.225,0.2,1
Gene82,0,0.897590361445783,0.889596602972399,0.396414057036485,-0.480055807623102,0.102,0.11,1
Gene83,0,0.833333333333333,0.86411889596603,,,,,
Gene84,0,0.981927710843373,0.978768577494692,0.970873260610763,0.388091039794068,0.018,0.021,1
Gene85,3.27296982669583,0.849397590361446,0.978768577494692,1.17438850268504e-13,3.3407125549722,0.151,0.021,4.19961328560171e-10
Gene86,0,0.829317269076305,0.887473460721868,0.00953306030781839,0.678919967085174,0.171,0.113,1
Gene87,1.40969386012104,0.660642570281125,0.849256900212314,9.93314375799982e-13,1.51739138021322,0.339,0.151,3.55209220786073e-09
Gene88,0,0.923694779116466,0.925690021231422,0.681090770179323,0.438764412149656,0.076,0.074,1
Gene89,-0.885548415532396,0.941767068273092,0.906581740976645,0.0417636632785019,-0.6277140576491,0.058,0.093,1
Gene90,0,0.799196787148594,0.815286624203822,0.425728006160902,0.312587168378765,0.201,0.185,1
Gene91,3.00448747387132,0.913654618473896,0.993630573248408,2.25849195311073e-09,4.49709164973042,0.086,0.006,8.07636722432398e-06
Gene92,0,0.983935742971888,0.983014861995754,0.76077396001011,1.18660838559291,0.016,0.017,1
Gene93,0,0.919678714859438,0.921443736730361,0.879131061025404,-0.182448223997785,0.08,0.079,1
Gene94,0,0.947791164658635,0.942675159235669,0.508517302497616,-0.889771556232329,0.052,0.057,1
Gene95,0,0.859437751004016,0.889596602972399,0.169745009866642,0.365456249433254,0.141,0.11,1
Gene96,0,0.738955823293173,0.804670912951168,0.0165909717763923,0.389805571274722,0.261,0.195,1
Gene97,0,0.959839357429719,0.936305732484076,0.164771737992259,-0.438098039397799,0.04,0.064,1
Gene98,0,0.965863453815261,0.970276008492569,0.938506888543367,0.187531590933134,0.034,0.03,1
Gene99,0,0.863453815261044,0.900212314225053,0.0382353077754726,0.837382818462814,0.137,0.1,1
Gene100,0,0.863453815261044,0.898089171974522,0.0320819077882525,0.928265216223861,0.137,0.102,1
Gene101,0,0.945783132530121,0.9447983014862,0.803501035396603,-0.461439544342065,0.054,0.055,1
Gene102,0,0.903614457831325,0.929936305732484,0.146003504836603,0.486396900148868,0.096,0.07,1
Gene103,0,0.945783132530121,0.929936305732484,0.282653051149541,-0.501686974063554,0.054,0.07,1
Gene104,0,0.959839357429719,0.949044585987261,,,,,
Gene105,0,0.997991967871486,1,,,,,
Gene106,0,0.883534136546185,0.89171974522293,0.621955417368988,0.265591505664807,0.116,0.108,1
Gene107,0,0.943775100401606,0.959660297239915,0.198652293078676,0.723265448358901,0.056,0.04,1
Gene108,0,0.93574297188755,0.934182590233546,,,,,
Gene109,0,0.753012048192771,0.821656050955414,0.0148535184420048,0.4685201364099,0.247,0.178,1
Gene110,0,0.849397590361446,0.898089171974522,0.0265252810330751,0.56295966199255,0.151,0.102,1
Gene111,0,0.949799196787149,0.968152866242038,0.213676655757886,0.223631589395881,0.05,0.032,1
Gene112,0,0.79718875502008,0.806794055201699,0.51652107245133,0.248691509833506,0.203,0.193,1
Gene113,0,0.767068273092369,0.794055201698514,0.231956850850608,0.3105173694868,0.233,0.206,1
Gene114,0,0.875502008032129,0.904458598726115,,,,,
Gene115,0,0.983935742971888,0.987261146496815,0.679623183480272,0.602715619005796,0.016,0.013,1
Gene116,0,0.951807228915663,0.942675159235669,0.44988998632356,-0.29595727272882,0.048,0.057,1
Gene117,0,0.949799196787149,0.955414012738854,,,,,
Gene118,0,0.789156626506024,0.849256900212314,0.0155705515767149,0.428109819439422,0.211,0.151,1
Gene119,0,0.532128514056225,0.583864118895966,0.0816884950592306,0.257972056545713,0.468,0.416,1
Gene120,0,0.855421686746988,0.883227176220807,0.379928984370623,-0.144935939031156,0.145,0.117,1
Gene121,0,0.901606425702811,0.921443736730361,0.366182249345734,0.19573304483341,0.098,0.079,1
Gene122,0,0.869477911646586,0.883227176220807,,,,,
Gene123,0,0.869477911646586,0.902335456475584,0.131878192952889,0.370068209107869,0.131,0.098,1
Gene124,0,0.917670682730924,0.929936305732484,,,,,
Gene125,0,0.939759036144578,0.91932059447983,0.222140668278338,-0.549170687702373,0.06,0.081,1
Gene126,0,0.921686746987952,0.932059447983015,0.397805561962058,0.354872474471064,0.078,0.068,1
Gene127,0,0.959839357429719,0.976645435244161,0.103201317297778,0.910465763401756,0.04,0.023,1
Gene128,0,0.903614457831325,0.932059447983015,0.0632807472663365,0.677424330821602,0.096,0.068,1
Gene129,0,0.885542168674699,0.908704883227176,0.20605395734653,0.395163015377262,0.114,0.091,1
Gene130,0,0.955823293172691,0.963906581740977,0.519667982530799,0.385870779066107,0.044,0.036,1
Gene131,0,0.867469879518072,0.874734607218684,0.690265016440445,0.18542397386455,0.133,0.125,1
Gene132,0,0.923694779116466,0.923566878980892,0.938030930633921,0.145149822417968,0.076,0.076,1
Gene133,0,0.825301204819277,0.853503184713376,0.261835711817291,0.353250538928985,0.175,0.146,1
Gene134,0,0.929718875502008,0.953290870488323,0.0711434615963458,0.943386599949391,0.07,0.047,1
Gene135,0,0.748995983935743,0.845010615711253,0.000179599431565874,0.718555658993729,0.251,0.155,0.642247567279566
Gene136,0,0.883534136546185,0.904458598726115,0.310649226699253,0.328491901446608,0.116,0.096,1
Gene137,0,0.983935742971888,0.993630573248408,0.0908195388795056,2.39270410215574,0.016,0.006,1
Gene138,0,0.941767068273092,0.9723991507431,0.0587796632705115,0.464028085942771,0.058,0.028,1
Gene139,0,0.799196787148594,0.86411889596603,0.00320705853883517,0.801677248992593,0.201,0.136,1
Gene140,0,0.827309236947791,0.821656050955414,0.882174871150435,0.319305279207692,0.173,0.178,1
Gene141,0,0.732931726907631,0.760084925690021,0.182552581700851,0.415123582683602,0.267,0.24,1
Gene142,0,0.965863453815261,0.961783439490446,0.940898531121137,0.891360796948607,0.034,0.038,1
Gene143,2.78097816018355,0.853413654618474,0.9723991507431,2.37517781005423e-11,2.89265297910697,0.147,0.028,8.49363584875393e-08
Gene144,0,0.710843373493976,0.760084925690021,,,,,
Gene145,0,0.91566265060241,0.932059447983015,0.445305348417811,0.146810153097437,0.084,0.068,1
Gene146,0,0.867469879518072,0.89171974522293,0.230182844860328,0.489417185279603,0.133,0.108,1
Gene147,0,0.845381526104418,0.857749469214437,0.673226797940471,0.133177903665877,0.155,0.142,1
Gene148,0,0.813253012048193,0.823779193205945,0.55490319838064,0.158060633564606,0.187,0.176,1
Gene149,0,0.855421686746988,0.881104033970276,0.218488738999135,0.484827990674558,0.145,0.119,1
Gene150,0,0.895582329317269,0.929936305732484,0.0520993823634084,0.410964408588268,0.104,0.07,1
Gene151,3.09765780694696,0.680722891566265,0.961783439490446,8.37779571807525e-29,2.90441169193625,0.319,0.038,2.99589974878371e-25
Gene152,0,0.879518072289157,0.885350318471338,,,,,
Gene153,0,0.897590361445783,0.910828025477707,0.471638721023631,0.201337318158568,0.102,0.089,1
Gene154,0,0.973895582329317,0.991507430997877,0.0205328002097384,2.54133714959084,0.026,0.008,1
Gene155,0,0.903614457831325,0.906581740976645,,,,,
Gene156,0,0.931726907630522,0.906581740976645,0.201509925214792,-0.252531242426706,0.068,0.093,1
Gene157,0,0.843373493975904,0.929936305732484,1.58252275943511e-05,1.3476863322016,0.157,0.07,0.0565910138773996
Gene158,0,0.961847389558233,0.961783439490446,0.851684617419511,0.444024580564211,0.038,0.038,1
Gene159,0,0.857429718875502,0.853503184713376,0.998443355905307,0.123860363818615,0.143,0.146,1
Gene160,0,0.793172690763052,0.851380042462845,0.0148591529276674,0.447112017900285,0.207,0.149,1
Gene161,0,0.929718875502008,0.91932059447983,0.763384397508637,0.12066156788477,0.07,0.081,1
Gene162,3.05643593174471,0.857429718875502,0.985138004246284,1.84385477805367e-12,2.60240615227074,0.143,0.015,6.59362468631991e-09
Gene163,3.0780435164833,0.84136546184739,0.976645435244161,1.33986489220822e-12,2.27957191842952,0.159,0.023,4.7913568545366e-09
Gene164,0,0.680722891566265,0.726114649681529,0.0783465432530791,0.287961613091039,0.319,0.274,1
Gene165,0,0.951807228915663,0.94692144373673,0.425181188646032,-1.57034941547294,0.048,0.053,1
Gene166,0,0.775100401606426,0.808917197452229,0.158817941161381,0.331641056135807,0.225,0.191,1
Gene167,0.546991325167553,0.891566265060241,0.938428874734607,0.00118740430446254,1.81096108978596,0.108,0.062,1
Gene168,0,0.815261044176707,0.83864118895966,0.302644920350552,0.229871125822997,0.185,0.161,1
Gene169,0,0.734939759036145,0.753715498938429,0.303010648825689,0.390226578265817,0.265,0.246,1
Gene170,0,0.899598393574297,0.925690021231422,0.199516437568113,0.458258645260559,0.1,0.074,1
Gene171,0,0.901606425702811,0.927813163481953,0.204135710150154,0.251107337382255,0.098,0.072,1
Gene172,0,0.895582329317269,0.921443736730361,0.100335817908901,0.711247691400065,0.104,0.079,1
Gene173,0,0.859437751004016,0.842887473460722,,,,,
Gene174,0,0.895582329317269,0.902335456475584,0.921375929493536,-0.251448752458886,0.104,0.098,1
Gene175,0,0.98995983935743,0.997876857749469,0.132649393729065,1.80405214530064,0.01,0.002,1
Gene176,0,0.877510040160643,0.898089171974522,0.188669784006541,0.677371625202324,0.122,0.102,1
Gene177,0,0.899598393574297,0.921443736730361,0.1392051661245,0.926163352141131,0.1,0.079,1
Gene178,0,0.736947791164659,0.808917197452229,0.0113946327379944,0.47883335799416,0.263,0.191,1
Gene179,0,0.881526104417671,0.912951167728238,0.0992187303089603,0.466142791075511,0.118,0.087,1
Gene180,0,0.971887550200803,0.970276008492569,,,,,
Gene181,2.88023257311765,0.971887550200803,0.995753715498939,0.00836711152710329,1.39509082934053,0.028,0.004,1
Gene182,0,0.700803212851406,0.719745222929936,0.257908309950595,0.398399541440417,0.299,0.28,1
Gene183,3.39568668756294,0.512048192771084,0.936305732484076,9.18640208338622e-54,3.46915119734914,0.488,0.064,3.28505738501891e-50
Gene184,0,0.981927710843373,0.978768577494692,0.801886665470749,-0.365642691815338,0.018,0.021,1
Gene185,0,0.971887550200803,0.987261146496815,0.0785527428927571,1.38147521065581,0.028,0.013,1
Gene186,0,0.897590361445783,0.923566878980892,0.281621499094927,0.204341416750211,0.102,0.076,1
Gene187,0,0.72289156626506,0.781316348195329,0.0630883804235541,0.299806224928803,0.277,0.219,1
Gene188,0,0.58433734939759,0.639065817409766,0.0816090361935138,0.253686760080532,0.416,0.361,1
Gene189,0,0.718875502008032,0.787685774946922,,,,,
Gene190,0,0.973895582329317,0.968152866242038,0.788797850580645,0.120018812366029,0.026,0.032,1
Gene191,0,0.965863453815261,0.963906581740977,0.773521786886521,-0.545286764316096,0.034,0.036,1
Gene192,0,0.877510040160643,0.887473460721868,0.700577958377755,-0.136693901489984,0.122,0.113,1
Gene193,0,0.985943775100402,0.978768577494692,0.399982038588203,-1.4779676695206,0.014,0.021,1
Gene194,0,0.941767068273092,0.961783439490446,0.121129187390648,0.824586372267946,0.058,0.038,1
Gene195,0,0.987951807228916,0.983014861995754,0.467298920546744,-0.681832174877544,0.012,0.017,1
Gene196,0,0.779116465863454,0.798301486199575,,,,,
Gene197,0,0.867469879518072,0.925690021231422,0.00546943760673536,0.867893899453227,0.133,0.074,1
Gene198,0,0.897590361445783,0.915074309978769,0.361977096096252,0.161617885238232,0.102,0.085,1
Gene199,0,0.927710843373494,0.938428874734607,0.493538251128634,0.384370258668678,0.072,0.062,1
Gene200,0,0.981927710843373,0.987261146496815,0.401368886727141,1.0731420628413,0.018,0.013,1
Gene201,0,0.991967871485944,0.985138004246284,0.316937491569986,-1.06025897242689,0.008,0.015,1
Gene202,0,0.937751004016064,0.94692144373673,0.412891852380923,0.629216782592267,0.062,0.053,1
Gene203,0,0.985943775100402,0.987261146496815,0.578575453774469,0.966657424269931,0.014,0.013,1
Gene204,0,0.91566265060241,0.94692144373673,0.0591291878097637,0.702962752008168,0.084,0.053,1
Gene205,0,0.909638554216867,0.949044585987261,0.00490260882183666,1.50500038033758,0.09,0.051,1
Gene206,0,0.937751004016064,0.953290870488323,0.298539235972854,0.333760739233307,0.062,0.047,1
Gene207,0,0.929718875502008,0.927813163481953,,,,,
Gene208,0,0.85140562248996,0.857749469214437,0.708391242840507,0.103436533062681,0.149,0.142,1
Gene209,3.1734954353489,0.967871485943775,0.997876857749469,0.000360966868705449,4.01017684018998,0.032,0.002,1
Gene210,0,0.815261044176707,0.825902335456476,0.691589579495505,0.121266910060784,0.185,0.174,1
Gene211,0,0.909638554216867,0.910828025477707,0.578761879600663,0.612021872372207,0.09,0.089,1
Gene212,0,0.953815261044177,0.957537154989384,0.592624646831518,0.543483789710405,0.046,0.042,1
Gene213,0,0.955823293172691,0.963906581740977,0.393027685379921,0.709742606347391,0.044,0.036,1
Gene214,0,0.744979919678715,0.779193205944798,0.0882940100719305,0.519372579436852,0.255,0.221,1
Gene215,0,0.949799196787149,0.938428874734607,0.35679541392649,-0.434441161786596,0.05,0.062,1
Gene216,0,0.801204819277108,0.845010615711253,0.027905416208693,0.724786705739071,0.199,0.155,1
Gene217,0,0.939759036144578,0.9447983014862,0.495866337770892,0.533334834903611,0.06,0.055,1
Gene218,1.0363913544587,0.901606425702811,0.966029723991507,6.2347203106343e-05,1.6291017753239,0.098,0.034,0.222953598308283
Gene219,0,0.881526104417671,0.929936305732484,0.0173723299455603,0.789232937953513,0.118,0.07,1
Gene220,0,0.959839357429719,0.970276008492569,,,,,
Gene221,0,0.807228915662651,0.845010615711253,0.0986605317187334,0.355165972096341,0.193,0.155,1
Gene222,0,0.811244979919679,0.832271762208068,0.195174939791432,0.589577619812003,0.189,0.168,1
Gene223,0,0.867469879518072,0.868365180467091,0.612257226425357,0.497248090793224,0.133,0.132,1
Gene224,0,0.931726907630522,0.955414012738854,0.0784813244157296,0.692531954112954,0.068,0.045,1
Gene225,0,0.837349397590361,0.861995753715499,0.336664392251253,0.129236004396632,0.163,0.138,1
Gene226,0,0.93574297188755,0.942675159235669,0.598121853130049,0.236882322156798,0.064,0.057,1
Gene227,0,0.919678714859438,0.932059447983015,0.432618662815,0.220494160993822,0.08,0.068,1
Gene228,0,0.885542168674699,0.904458598726115,0.268901605363964,0.277777491677584,0.114,0.096,1
Gene229,0,0.781124497991968,0.802547770700637,0.259577716741414,0.472018016844422,0.219,0.197,1
Gene230,0,0.847389558232932,0.849256900212314,0.796995623347902,0.100524407390412,0.153,0.151,1
Gene231,0,0.753012048192771,0.794055201698514,0.187024186802219,0.210924545060591,0.247,0.206,1
Gene232,0,0.905622489959839,0.925690021231422,0.141864260737205,0.839748784017703,0.094,0.074,1
Gene233,0,0.971887550200803,0.966029723991507,,,,,
Gene234,0,0.957831325301205,0.983014861995754,0.0242054132971128,1.17834086999553,0.042,0.017,1
Gene235,0,0.985943775100402,0.993630573248408,0.258840862927219,1.1041327210205,0.014,0.006,1
Gene236,-0.880471472729271,0.895582329317269,0.853503184713376,0.0389168181738726,-0.654843484771537,0.104,0.146,1
Gene237,0,0.899598393574297,0.923566878980892,0.140216599534639,0.729656038019606,0.1,0.076,1
Gene238,0,0.897590361445783,0.900212314225053,,,,,
Gene239,0,0.957831325301205,0.974522292993631,0.291926797966831,0.117729540336265,0.042,0.025,1
Gene240,0,0.819277108433735,0.86411889596603,0.0218395336250006,0.781778454387613,0.181,0.136,1
Gene241,0,0.859437751004016,0.876857749469215,0.266865506158962,0.529065562428738,0.141,0.123,1
Gene242,0,0.680722891566265,0.70276008492569,0.31107502814937,0.325842130347445,0.319,0.297,1
Gene243,0,0.885542168674699,0.900212314225053,,,,,
Gene244,0,0.955823293172691,0.963906581740977,0.299336688797907,0.566232359993858,0.044,0.036,1
Gene245,2.63324396862123,0.901606425702811,0.993630573248408,1.48619536067987e-10,4.73705219370404,0.098,0.006,5.3146346097912e-07
Gene246,0,0.943775100401606,0.963906581740977,0.146671856309742,0.44015728029771,0.056,0.036,1
Gene247,0,0.879518072289157,0.917197452229299,,,,,
Gene248,0,0.985943775100402,0.993630573248408,0.306829203769817,0.848122667464501,0.014,0.006,1
Gene249,0,0.845381526104418,0.89171974522293,0.0160756597406101,0.800457212222262,0.155,0.108,1
Gene250,0,0.939759036144578,0.940552016985138,,,,,
Gene251,0,0.899598393574297,0.925690021231422,0.110285052484047,0.512027924849833,0.1,0.074,1
Gene252,0,0.929718875502008,0.923566878980892,,,,,
Gene253,0,0.907630522088353,0.915074309978769,,,,,
Gene254,0,0.939759036144578,0.957537154989384,0.185912615515235,0.57821844007364,0.06,0.042,1
Gene255,0,0.78714859437751,0.83651804670913,0.0171166610923408,0.652122732374222,0.213,0.163,1
Gene256,0,0.907630522088353,0.917197452229299,0.554449952483008,0.159120789070192,0.092,0.083,1
Gene257,0,0.789156626506024,0.813163481953291,0.278149726726213,0.16980349521918,0.211,0.187,1
Gene258,0,0.903614457831325,0.904458598726115,,,,,
Gene259,0,0.612449799196787,0.711252653927813,0.000175105574940193,0.764546925269229,0.388,0.289,0.626177535986129
Gene260,0,0.947791164658635,0.938428874734607,0.403438743606588,-0.386327107298692,0.052,0.062,1
Gene261,0,0.917670682730924,0.917197452229299,0.703763338244628,0.415971500392826,0.082,0.083,1
Gene262,2.65334068555317,0.885542168674699,0.985138004246284,3.29028276881974e-10,2.95668344150563,0.114,0.015,1.17660511812994e-06
Gene263,0,0.953815261044177,0.94692144373673,0.502134247571058,-0.607213687763498,0.046,0.053,1
Gene264,0,0.939759036144578,0.976645435244161,0.00214348172599355,2.0685989965708,0.06,0.023,1
Gene265,0,0.957831325301205,0.976645435244161,0.0887524889465627,1.17239002543983,0.042,0.023,1
Gene266,0,0.86144578313253,0.940552016985138,3.42102957131987e-05,1.39715072008353,0.139,0.059,0.122336017470399
Gene267,0,0.985943775100402,0.980891719745223,0.61628266950688,-0.269479676807448,0.014,0.019,1
Gene268,0,0.959839357429719,0.961783439490446,0.668592730619202,0.522654924634608,0.04,0.038,1
Gene269,0,0.799196787148594,0.834394904458599,0.162869650478096,0.309542061044376,0.201,0.166,1
Gene270,0,0.801204819277108,0.83651804670913,0.171281917485389,0.114935588875977,0.199,0.163,1
Gene271,0,0.843373493975904,0.89171974522293,0.0123555401643114,0.888278329451632,0.157,0.108,1
Gene272,-0.542138524977184,0.909638554216867,0.861995753715499,0.022015514925403,-0.7353350649715,0.09,0.138,1
Gene273,0,0.991967871485944,0.987261146496815,0.637295769130497,0.592842938697029,0.008,0.013,1
Gene274,0,0.931726907630522,0.936305732484076,0.55820971388837,0.578564060161222,0.068,0.064,1
Gene275,0,0.923694779116466,0.936305732484076,0.417572030275653,0.561955811103533,0.076,0.064,1
Gene276,0,0.863453815261044,0.853503184713376,0.518004525337268,-0.298231176640453,0.137,0.146,1
Gene277,0,0.887550200803213,0.889596602972399,0.95555060264864,-0.125372202869304,0.112,0.11,1
Gene278,0,0.885542168674699,0.889596602972399,0.987888285973666,-0.169064425525314,0.114,0.11,1
Gene279,0,0.652610441767068,0.662420382165605,0.526717687469037,0.215804008997005,0.347,0.338,1
Gene280,0,0.769076305220884,0.830148619957537,0.0132655718385372,0.596876952858219,0.231,0.17,1
Gene281,0,0.957831325301205,0.953290870488323,0.493337903836397,-0.485034853231861,0.042,0.047,1
Gene282,-1.29197354445194,0.993975903614458,0.985138004246284,0.199488180745321,-1.4457112252834,0.006,0.015,1
Gene283,-3.03369495256431,0.983935742971888,0.876857749469215,5.14497096961492e-11,-4.05763684264285,0.016,0.123,1.8398416187343e-07
Gene284,0,0.997991967871486,1,,,,,
Gene285,0,0.751004016064257,0.796178343949045,0.150732569673658,0.191645660964811,0.249,0.204,1
