method,accuracy,precision,recall,tpr,tnr,fpr,fnr,f1,dispersion,rep_no
Scanpy t-test,0.7313333333333333,0.255859375,0.8562091503267973,0.8562091503267973,0.7171492204899778,0.2828507795100223,0.1437908496732026,0.393984962406015,0.1,4
Scanpy t-test_overestim_var,0.7313333333333333,0.255859375,0.8562091503267973,0.8562091503267973,0.7171492204899778,0.2828507795100223,0.1437908496732026,0.393984962406015,0.1,4
Scanpy wilcoxon,0.402,0.1324110671936759,0.8758169934640523,0.8758169934640523,0.348181143281366,0.651818856718634,0.12418300653594772,0.23004291845493566,0.1,4
DELN,0.55,0.185785536159601,0.8713450292397661,0.8713450292397661,0.508653122648608,0.49134687735139204,0.1286549707602339,0.30626927029804735,0.1,5
Scanpy t-test,0.6566666666666666,0.23208722741433022,0.8713450292397661,0.8713450292397661,0.6290443942814146,0.3709556057185854,0.1286549707602339,0.36654366543665434,0.1,5
Scanpy t-test_overestim_var,0.6566666666666666,0.23208722741433022,0.8713450292397661,0.8713450292397661,0.6290443942814146,0.3709556057185854,0.1286549707602339,0.36654366543665434,0.1,5
Scanpy wilcoxon,0.38066666666666665,0.1397338403041825,0.8596491228070176,0.8596491228070176,0.3190368698269376,0.6809631301730624,0.14035087719298245,0.24039247751430906,0.1,5
DELN,0.67,0.22077922077922077,0.9006622516556292,0.9006622516556292,0.6441808747220164,0.3558191252779837,0.09933774834437085,0.35462842242503256,0.1,6
Scanpy t-test,0.7593333333333333,0.2821576763485477,0.9006622516556292,0.9006622516556292,0.7435137138621201,0.25648628613787994,0.09933774834437085,0.42969984202211686,0.1,6
Scanpy t-test_overestim_var,0.7593333333333333,0.2821576763485477,0.9006622516556292,0.9006622516556292,0.7435137138621201,0.25648628613787994,0.09933774834437085,0.42969984202211686,0.1,6
Scanpy wilcoxon,0.4046666666666667,0.13047808764940239,0.8675496688741722,0.8675496688741722,0.35285396590066714,0.6471460340993328,0.13245033112582782,0.22683982683982684,0.1,6
DELN,0.612,0.19027181688125894,0.8926174496644296,0.8926174496644296,0.5810510732790526,0.41894892672094747,0.10738255033557047,0.3136792452830189,0.1,7
Scanpy t-test,0.7106666666666667,0.23948811700182815,0.8791946308724832,0.8791946308724832,0.692079940784604,0.307920059215396,0.12080536912751678,0.37643678160919536,0.1,7
Scanpy t-test_overestim_var,0.7106666666666667,0.23948811700182815,0.8791946308724832,0.8791946308724832,0.692079940784604,0.307920059215396,0.12080536912751678,0.37643678160919536,0.1,7
Scanpy wilcoxon,0.41533333333333333,0.13306451612903225,0.8859060402684564,0.8859060402684564,0.3634344929681717,0.6365655070318282,0.11409395973154363,0.23137598597721296,0.1,7
DELN,0.682,0.22408026755852842,0.9115646258503401,0.9115646258503401,0.6570583887657059,0.3429416112342942,0.08843537414965986,0.35973154362416104,0.1,8
Scanpy t-test,0.7673333333333333,0.2841880341880342,0.9047619047619048,0.9047619047619048,0.7524020694752402,0.24759793052475979,0.09523809523809523,0.432520325203252,0.1,8
Scanpy t-test_overestim_var,0.7673333333333333,0.2841880341880342,0.9047619047619048,0.9047619047619048,0.7524020694752402,0.24759793052475979,0.09523809523809523,0.432520325203252,0.1,8
Scanpy wilcoxon,0.38266666666666665,0.12655800575263662,0.8979591836734694,0.8979591836734694,0.3266814486326681,0.6733185513673319,0.10204081632653061,0.2218487394957983,0.1,8
DELN,0.542,0.18337408312958436,0.8875739644970414,0.8875739644970414,0.49812171299774605,0.5018782870022539,0.11242603550295859,0.30395136778115506,0.1,9
Scanpy t-test,0.636,0.2199108469539376,0.8757396449704142,0.8757396449704142,0.6055597295266717,0.3944402704733283,0.1242603550295858,0.35154394299287406,0.1,9
Scanpy t-test_overestim_var,0.636,0.2199108469539376,0.8757396449704142,0.8757396449704142,0.6055597295266717,0.3944402704733283,0.1242603550295858,0.35154394299287406,0.1,9
Scanpy wilcoxon,0.38533333333333336,0.14245014245014245,0.8875739644970414,0.8875739644970414,0.32156273478587527,0.6784372652141247,0.11242603550295859,0.24549918166939444,0.1,9
DELN,0.648,0.20537124802527645,0.8387096774193549,0.8387096774193549,0.6260223048327137,0.37397769516728624,0.16129032258064516,0.32994923857868025,0.1,10
Scanpy t-test,0.7313333333333333,0.2559055118110236,0.8387096774193549,0.8387096774193549,0.7189591078066915,0.2810408921933085,0.16129032258064516,0.392156862745098,0.1,10
Scanpy t-test_overestim_var,0.7313333333333333,0.2559055118110236,0.8387096774193549,0.8387096774193549,0.7189591078066915,0.2810408921933085,0.16129032258064516,0.392156862745098,0.1,10
Scanpy wilcoxon,0.3993333333333333,0.1306930693069307,0.8516129032258064,0.8516129032258064,0.34721189591078067,0.6527881040892193,0.14838709677419354,0.22660944206008585,0.1,10
DELN,0.6633333333333333,0.2079207920792079,0.8344370860927153,0.8344370860927153,0.6441808747220164,0.3558191252779837,0.16556291390728478,0.332892998678996,0.1,11
Scanpy t-test,0.736,0.25252525252525254,0.8278145695364238,0.8278145695364238,0.7257227575982209,0.2742772424017791,0.17218543046357615,0.3869969040247678,0.1,11
Scanpy t-test_overestim_var,0.736,0.25252525252525254,0.8278145695364238,0.8278145695364238,0.7257227575982209,0.2742772424017791,0.17218543046357615,0.3869969040247678,0.1,11
Scanpy wilcoxon,0.398,0.12845849802371542,0.8609271523178808,0.8609271523178808,0.346182357301705,0.653817642698295,0.1390728476821192,0.2235597592433362,0.1,11
DELN,0.6993333333333334,0.23132969034608378,0.8141025641025641,0.8141025641025641,0.6860119047619048,0.31398809523809523,0.1858974358974359,0.3602836879432624,0.1,12
Scanpy t-test,0.7713333333333333,0.28798185941043086,0.8141025641025641,0.8141025641025641,0.7663690476190477,0.23363095238095238,0.1858974358974359,0.4254606365159129,0.1,12
Scanpy t-test_overestim_var,0.7713333333333333,0.28798185941043086,0.8141025641025641,0.8141025641025641,0.7663690476190477,0.23363095238095238,0.1858974358974359,0.4254606365159129,0.1,12
Scanpy wilcoxon,0.40066666666666667,0.12887112887112886,0.8269230769230769,0.8269230769230769,0.35119047619047616,0.6488095238095238,0.17307692307692307,0.222990492653414,0.1,12
DELN,0.666,0.21900161030595813,0.8947368421052632,0.8947368421052632,0.6402077151335311,0.35979228486646886,0.10526315789473684,0.351875808538163,0.1,13
Scanpy t-test,0.7746666666666666,0.2942477876106195,0.875,0.875,0.7633531157270029,0.23664688427299704,0.125,0.4403973509933775,0.1,13
Scanpy t-test_overestim_var,0.7746666666666666,0.2942477876106195,0.875,0.875,0.7633531157270029,0.23664688427299704,0.125,0.4403973509933775,0.1,13
Scanpy wilcoxon,0.39066666666666666,0.1286549707602339,0.868421052631579,0.868421052631579,0.3367952522255193,0.6632047477744807,0.13157894736842105,0.22410865874363328,0.1,13
DELN,0.6966666666666667,0.2421602787456446,0.8742138364779874,0.8742138364779874,0.6756152125279642,0.3243847874720358,0.12578616352201258,0.37926330150068216,0.1,14
Scanpy t-test,0.7713333333333333,0.2982456140350877,0.8553459119496856,0.8553459119496856,0.761372110365399,0.23862788963460105,0.14465408805031446,0.4422764227642276,0.1,14
Scanpy t-test_overestim_var,0.7713333333333333,0.2982456140350877,0.8553459119496856,0.8553459119496856,0.761372110365399,0.23862788963460105,0.14465408805031446,0.4422764227642276,0.1,14
Scanpy wilcoxon,0.3973333333333333,0.1379980563654033,0.8930817610062893,0.8930817610062893,0.33855331841909025,0.6614466815809098,0.1069182389937107,0.23905723905723905,0.1,14
DELN,0.8273333333333334,0.3190883190883191,0.8484848484848485,0.8484848484848485,0.8252923976608187,0.17470760233918128,0.15151515151515152,0.463768115942029,0.1,15
Scanpy t-test,0.86,0.37,0.8409090909090909,0.8409090909090909,0.8618421052631579,0.13815789473684212,0.1590909090909091,0.513888888888889,0.1,15
Scanpy t-test_overestim_var,0.86,0.37,0.8409090909090909,0.8409090909090909,0.8618421052631579,0.13815789473684212,0.1590909090909091,0.513888888888889,0.1,15
Scanpy wilcoxon,0.428,0.11869747899159663,0.8560606060606061,0.8560606060606061,0.38669590643274854,0.6133040935672515,0.14393939393939395,0.20848708487084872,0.1,15
DELN,0.5746666666666667,0.18389261744966443,0.8203592814371258,0.8203592814371258,0.5438859714928732,0.4561140285071268,0.17964071856287425,0.3004385964912281,0.1,16
Scanpy t-test,0.6806666666666666,0.2328767123287671,0.8143712574850299,0.8143712574850299,0.6639159789947486,0.3360840210052513,0.18562874251497005,0.36218375499334216,0.1,16
Scanpy t-test_overestim_var,0.6806666666666666,0.2328767123287671,0.8143712574850299,0.8143712574850299,0.6639159789947486,0.3360840210052513,0.18562874251497005,0.36218375499334216,0.1,16
Scanpy wilcoxon,0.37733333333333335,0.13089509143407121,0.8143712574850299,0.8143712574850299,0.3225806451612903,0.6774193548387096,0.18562874251497005,0.22553897180762852,0.1,16
DELN,0.6593333333333333,0.2064516129032258,0.8707482993197279,0.8707482993197279,0.6363636363636364,0.36363636363636365,0.1292517006802721,0.33376792698826596,0.1,17
Scanpy t-test,0.7493333333333333,0.2648870636550308,0.8775510204081632,0.8775510204081632,0.7354028085735402,0.2645971914264597,0.12244897959183673,0.4069400630914826,0.1,17
Scanpy t-test_overestim_var,0.7493333333333333,0.2648870636550308,0.8775510204081632,0.8775510204081632,0.7354028085735402,0.2645971914264597,0.12244897959183673,0.4069400630914826,0.1,17
Scanpy wilcoxon,0.414,0.12880324543610547,0.8639455782312925,0.8639455782312925,0.36511456023651145,0.6348854397634885,0.1360544217687075,0.22418358340688438,0.1,17
DELN,0.6893333333333334,0.22982456140350876,0.8291139240506329,0.8291139240506329,0.672876304023845,0.327123695976155,0.17088607594936708,0.3598901098901099,0.1,18
Scanpy t-test,0.762,0.28322440087145967,0.8227848101265823,0.8227848101265823,0.7548435171385991,0.2451564828614009,0.17721518987341772,0.4213938411669368,0.1,18
Scanpy t-test_overestim_var,0.762,0.28322440087145967,0.8227848101265823,0.8227848101265823,0.7548435171385991,0.2451564828614009,0.17721518987341772,0.4213938411669368,0.1,18
Scanpy wilcoxon,0.39066666666666666,0.130859375,0.8481012658227848,0.8481012658227848,0.33681073025335323,0.6631892697466468,0.1518987341772152,0.22673434856175972,0.1,18
DELN,0.4046666666666667,0.15092502434274585,0.8806818181818182,0.8806818181818182,0.3413897280966767,0.6586102719033232,0.11931818181818182,0.25768911055694094,0.1,19
Scanpy t-test,0.49666666666666665,0.17288135593220338,0.8693181818181818,0.8693181818181818,0.4471299093655589,0.552870090634441,0.13068181818181818,0.2884071630537228,0.1,19
Scanpy t-test_overestim_var,0.49666666666666665,0.17288135593220338,0.8693181818181818,0.8693181818181818,0.4471299093655589,0.552870090634441,0.13068181818181818,0.2884071630537228,0.1,19
Scanpy wilcoxon,0.3486666666666667,0.13821138211382114,0.8693181818181818,0.8693181818181818,0.2794561933534743,0.7205438066465257,0.13068181818181818,0.23850350740452064,0.1,19
DELN,0.7366666666666667,0.256,0.847682119205298,0.847682119205298,0.7242401779095626,0.27575982209043737,0.152317880794702,0.3932411674347158,0.2,0
Scanpy t-test,0.15133333333333332,0.09406657018813314,0.8609271523178808,0.8609271523178808,0.07190511489992588,0.9280948851000741,0.1390728476821192,0.16960208741030658,0.2,0
Scanpy t-test_overestim_var,0.15133333333333332,0.09406657018813314,0.8609271523178808,0.8609271523178808,0.07190511489992588,0.9280948851000741,0.1390728476821192,0.16960208741030658,0.2,0
Scanpy wilcoxon,0.13533333333333333,0.09188034188034189,0.8543046357615894,0.8543046357615894,0.05485544848035582,0.9451445515196442,0.1456953642384106,0.16591639871382638,0.2,0
DELN,0.7253333333333334,0.2456813819577735,0.8707482993197279,0.8707482993197279,0.7095343680709535,0.29046563192904656,0.1292517006802721,0.3832335329341317,0.2,1
Scanpy t-test,0.13733333333333334,0.08532176428054954,0.8027210884353742,0.8027210884353742,0.06504065040650407,0.9349593495934959,0.19727891156462585,0.15424836601307193,0.2,1
Scanpy t-test_overestim_var,0.13733333333333334,0.08532176428054954,0.8027210884353742,0.8027210884353742,0.06504065040650407,0.9349593495934959,0.19727891156462585,0.15424836601307193,0.2,1
Scanpy wilcoxon,0.12733333333333333,0.08559201141226819,0.8163265306122449,0.8163265306122449,0.0524759793052476,0.9475240206947524,0.1836734693877551,0.15493867010974824,0.2,1
DELN,0.8286666666666667,0.35492957746478876,0.8181818181818182,0.8181818181818182,0.8298662704309064,0.17013372956909362,0.18181818181818182,0.49508840864440085,0.2,2
Scanpy t-test,0.172,0.09402985074626866,0.8181818181818182,0.8181818181818182,0.09806835066864784,0.9019316493313522,0.18181818181818182,0.1686746987951807,0.2,2
Scanpy t-test_overestim_var,0.172,0.09402985074626866,0.8181818181818182,0.8181818181818182,0.09806835066864784,0.9019316493313522,0.18181818181818182,0.1686746987951807,0.2,2
Scanpy wilcoxon,0.14333333333333334,0.09404163675520459,0.8506493506493507,0.8506493506493507,0.06240713224368499,0.937592867756315,0.14935064935064934,0.1693600517129929,0.2,2
DELN,0.756,0.2569593147751606,0.8633093525179856,0.8633093525179856,0.7450404114621602,0.25495958853783984,0.1366906474820144,0.39603960396039606,0.2,3
Scanpy t-test,0.158,0.0891812865497076,0.8776978417266187,0.8776978417266187,0.08449669360764143,0.9155033063923586,0.1223021582733813,0.1619110816191108,0.2,3
Scanpy t-test_overestim_var,0.158,0.0891812865497076,0.8776978417266187,0.8776978417266187,0.08449669360764143,0.9155033063923586,0.1223021582733813,0.1619110816191108,0.2,3
Scanpy wilcoxon,0.132,0.08729595457771469,0.8848920863309353,0.8848920863309353,0.055106539309331376,0.9448934606906686,0.11510791366906475,0.15891472868217055,0.2,3
DELN,0.6733333333333333,0.22,0.8571428571428571,0.8571428571428571,0.6523031203566122,0.3476968796433878,0.14285714285714285,0.3501326259946949,0.2,4
Scanpy t-test,0.12866666666666668,0.08850820842255532,0.8051948051948052,0.8051948051948052,0.0512630014858841,0.9487369985141159,0.19480519480519481,0.15948553054662376,0.2,4
Scanpy t-test_overestim_var,0.12866666666666668,0.08850820842255532,0.8051948051948052,0.8051948051948052,0.0512630014858841,0.9487369985141159,0.19480519480519481,0.15948553054662376,0.2,4
Scanpy wilcoxon,0.13333333333333333,0.09071428571428572,0.8246753246753247,0.8246753246753247,0.05423476968796434,0.9457652303120356,0.17532467532467533,0.16344916344916344,0.2,4
DELN,0.7406666666666667,0.25,0.8794326241134752,0.8794326241134752,0.7262693156732892,0.2737306843267108,0.12056737588652482,0.38932496075353223,0.2,5
Scanpy t-test,0.14733333333333334,0.0858806404657933,0.8368794326241135,0.8368794326241135,0.07579102281089035,0.9242089771891097,0.16312056737588654,0.15577557755775576,0.2,5
Scanpy t-test_overestim_var,0.14733333333333334,0.0858806404657933,0.8368794326241135,0.8368794326241135,0.07579102281089035,0.9242089771891097,0.16312056737588654,0.15577557755775576,0.2,5
Scanpy wilcoxon,0.13666666666666666,0.08548850574712644,0.8439716312056738,0.8439716312056738,0.06328182487122884,0.9367181751287712,0.15602836879432624,0.15525114155251143,0.2,5
DELN,0.836,0.3362573099415205,0.8582089552238806,0.8582089552238806,0.8338213762811127,0.16617862371888725,0.1417910447761194,0.48319327731092443,0.2,6
Scanpy t-test,0.16666666666666666,0.08170914542728636,0.8134328358208955,0.8134328358208955,0.10322108345534407,0.8967789165446559,0.1865671641791045,0.14850136239782016,0.2,6
Scanpy t-test_overestim_var,0.16666666666666666,0.08170914542728636,0.8134328358208955,0.8134328358208955,0.10322108345534407,0.8967789165446559,0.1865671641791045,0.14850136239782016,0.2,6
Scanpy wilcoxon,0.13666666666666666,0.07965242577842144,0.8208955223880597,0.8208955223880597,0.06954612005856516,0.9304538799414348,0.1791044776119403,0.1452145214521452,0.2,6
DELN,0.7966666666666666,0.3015075376884422,0.8163265306122449,0.8163265306122449,0.7945306725794531,0.20546932742054694,0.1836734693877551,0.4403669724770642,0.2,7
Scanpy t-test,0.16333333333333333,0.08656716417910448,0.7891156462585034,0.7891156462585034,0.09534368070953436,0.9046563192904656,0.2108843537414966,0.15601882985877605,0.2,7
Scanpy t-test_overestim_var,0.16333333333333333,0.08656716417910448,0.7891156462585034,0.7891156462585034,0.09534368070953436,0.9046563192904656,0.2108843537414966,0.15601882985877605,0.2,7
Scanpy wilcoxon,0.14066666666666666,0.08563134978229318,0.8027210884353742,0.8027210884353742,0.06873614190687362,0.9312638580931264,0.19727891156462585,0.15475409836065576,0.2,7
DELN,0.7373333333333333,0.24897119341563786,0.8066666666666666,0.8066666666666666,0.7296296296296296,0.27037037037037037,0.19333333333333333,0.3805031446540881,0.2,8
Scanpy t-test,0.14133333333333334,0.09005763688760807,0.8333333333333334,0.8333333333333334,0.06444444444444444,0.9355555555555556,0.16666666666666666,0.16254876462938883,0.2,8
Scanpy t-test_overestim_var,0.14133333333333334,0.09005763688760807,0.8333333333333334,0.8333333333333334,0.06444444444444444,0.9355555555555556,0.16666666666666666,0.16254876462938883,0.2,8
Scanpy wilcoxon,0.13066666666666665,0.09019886363636363,0.8466666666666667,0.8466666666666667,0.051111111111111114,0.9488888888888889,0.15333333333333332,0.16302952503209242,0.2,8
DELN,0.7706666666666667,0.2773892773892774,0.7777777777777778,0.7777777777777778,0.7698589458054937,0.2301410541945063,0.2222222222222222,0.4089347079037801,0.2,9
Scanpy t-test,0.14733333333333334,0.08905109489051095,0.7973856209150327,0.7973856209150327,0.07349665924276169,0.9265033407572383,0.20261437908496732,0.16021011162179907,0.2,9
Scanpy t-test_overestim_var,0.14733333333333334,0.08905109489051095,0.7973856209150327,0.7973856209150327,0.07349665924276169,0.9265033407572383,0.20261437908496732,0.16021011162179907,0.2,9
Scanpy wilcoxon,0.134,0.08954154727793696,0.8169934640522876,0.8169934640522876,0.05642167780252413,0.9435783221974758,0.1830065359477124,0.16139444803098774,0.2,9
DELN,0.7413333333333333,0.2651821862348178,0.8397435897435898,0.8397435897435898,0.7299107142857143,0.2700892857142857,0.16025641025641027,0.4030769230769231,0.2,10
Scanpy t-test,0.14733333333333334,0.09341057204923968,0.8269230769230769,0.8269230769230769,0.06845238095238096,0.9315476190476191,0.17307692307692307,0.1678594664931685,0.2,10
Scanpy t-test_overestim_var,0.14733333333333334,0.09341057204923968,0.8269230769230769,0.8269230769230769,0.06845238095238096,0.9315476190476191,0.17307692307692307,0.1678594664931685,0.2,10
Scanpy wilcoxon,0.134,0.09207708779443255,0.8269230769230769,0.8269230769230769,0.05357142857142857,0.9464285714285714,0.17307692307692307,0.1657032755298651,0.2,10
DELN,0.712,0.24448529411764705,0.8636363636363636,0.8636363636363636,0.6946508172362555,0.30534918276374445,0.13636363636363635,0.38108882521489973,0.2,11
Scanpy t-test,0.14733333333333334,0.09503239740820735,0.8571428571428571,0.8571428571428571,0.06612184249628529,0.9338781575037147,0.14285714285714285,0.1710952689565781,0.2,11
Scanpy t-test_overestim_var,0.14733333333333334,0.09503239740820735,0.8571428571428571,0.8571428571428571,0.06612184249628529,0.9338781575037147,0.14285714285714285,0.1710952689565781,0.2,11
Scanpy wilcoxon,0.14666666666666667,0.09670487106017192,0.8766233766233766,0.8766233766233766,0.06315007429420505,0.936849925705795,0.12337662337662338,0.17419354838709677,0.2,11
DELN,0.7946666666666666,0.3175355450236967,0.8701298701298701,0.8701298701298701,0.7860326894502229,0.2139673105497771,0.12987012987012986,0.4652777777777778,0.2,12
Scanpy t-test,0.14866666666666667,0.09978617248752673,0.9090909090909091,0.9090909090909091,0.061664190193164936,0.9383358098068351,0.09090909090909091,0.1798330122029544,0.2,12
Scanpy t-test_overestim_var,0.14866666666666667,0.09978617248752673,0.9090909090909091,0.9090909090909091,0.061664190193164936,0.9383358098068351,0.09090909090909091,0.1798330122029544,0.2,12
Scanpy wilcoxon,0.13666666666666666,0.09795630725863284,0.9025974025974026,0.9025974025974026,0.04903417533432392,0.950965824665676,0.09740259740259741,0.17673235855054037,0.2,12
DELN,0.744,0.26369168356997974,0.8609271523178808,0.8609271523178808,0.7309117865085248,0.26908821349147516,0.1390728476821192,0.40372670807453415,0.2,13
Scanpy t-test,0.14,0.09466192170818505,0.8807947019867549,0.8807947019867549,0.05707931801334322,0.9429206819866568,0.11920529801324503,0.1709511568123393,0.2,13
Scanpy t-test_overestim_var,0.14,0.09466192170818505,0.8807947019867549,0.8807947019867549,0.05707931801334322,0.9429206819866568,0.11920529801324503,0.1709511568123393,0.2,13
Scanpy wilcoxon,0.12933333333333333,0.09359605911330049,0.8807947019867549,0.8807947019867549,0.0452186805040771,0.9547813194959229,0.11920529801324503,0.16921119592875317,0.2,13
DELN,0.7806666666666666,0.2764423076923077,0.8041958041958042,0.8041958041958042,0.7781871775976419,0.22181282240235814,0.1958041958041958,0.4114490161001789,0.2,14
Scanpy t-test,0.15733333333333333,0.08877476155539252,0.8461538461538461,0.8461538461538461,0.0847457627118644,0.9152542372881356,0.15384615384615385,0.16069057104913678,0.2,14
Scanpy t-test_overestim_var,0.15733333333333333,0.08877476155539252,0.8461538461538461,0.8461538461538461,0.0847457627118644,0.9152542372881356,0.15384615384615385,0.16069057104913678,0.2,14
Scanpy wilcoxon,0.14066666666666666,0.08836206896551724,0.8601398601398601,0.8601398601398601,0.06484893146647015,0.9351510685335298,0.13986013986013987,0.16026058631921822,0.2,14
DELN,0.6813333333333333,0.22241379310344828,0.8269230769230769,0.8269230769230769,0.6644345238095238,0.33556547619047616,0.17307692307692307,0.35054347826086957,0.2,15
Scanpy t-test,0.13133333333333333,0.0923951670220327,0.8333333333333334,0.8333333333333334,0.04985119047619048,0.9501488095238095,0.16666666666666666,0.16634676903390916,0.2,15
Scanpy t-test_overestim_var,0.13133333333333333,0.0923951670220327,0.8333333333333334,0.8333333333333334,0.04985119047619048,0.9501488095238095,0.16666666666666666,0.16634676903390916,0.2,15
Scanpy wilcoxon,0.13733333333333334,0.09415121255349501,0.8461538461538461,0.8461538461538461,0.05505952380952381,0.9449404761904762,0.15384615384615385,0.1694480102695764,0.2,15
DELN,0.7133333333333334,0.23827392120075047,0.8410596026490066,0.8410596026490066,0.6990363232023721,0.30096367679762787,0.15894039735099338,0.3713450292397661,0.2,16
Scanpy t-test,0.132,0.08980755523877405,0.8344370860927153,0.8344370860927153,0.05337286879169755,0.9466271312083024,0.16556291390728478,0.16216216216216217,0.2,16
Scanpy t-test_overestim_var,0.132,0.08980755523877405,0.8344370860927153,0.8344370860927153,0.05337286879169755,0.9466271312083024,0.16556291390728478,0.16216216216216217,0.2,16
Scanpy wilcoxon,0.13066666666666665,0.09026297085998579,0.8410596026490066,0.8410596026490066,0.05114899925871016,0.9488510007412898,0.15894039735099338,0.16302952503209242,0.2,16
DELN,0.7506666666666667,0.2594142259414226,0.8611111111111112,0.8611111111111112,0.7389380530973452,0.2610619469026549,0.1388888888888889,0.3987138263665595,0.2,17
Scanpy t-test,0.14666666666666667,0.09018759018759019,0.8680555555555556,0.8680555555555556,0.0700589970501475,0.9299410029498525,0.13194444444444445,0.16339869281045755,0.2,17
Scanpy t-test_overestim_var,0.14666666666666667,0.09018759018759019,0.8680555555555556,0.8680555555555556,0.0700589970501475,0.9299410029498525,0.13194444444444445,0.16339869281045755,0.2,17
Scanpy wilcoxon,0.13533333333333333,0.08967971530249111,0.875,0.875,0.056784660766961655,0.9432153392330384,0.125,0.16268560361523565,0.2,17
DELN,0.6686666666666666,0.21266233766233766,0.916083916083916,0.916083916083916,0.6425939572586588,0.3574060427413412,0.08391608391608392,0.3451910408432147,0.2,18
Scanpy t-test,0.12066666666666667,0.08533145275035262,0.8461538461538461,0.8461538461538461,0.04421518054532056,0.9557848194546794,0.15384615384615385,0.1550288276745676,0.2,18
Scanpy t-test_overestim_var,0.12066666666666667,0.08533145275035262,0.8461538461538461,0.8461538461538461,0.04421518054532056,0.9557848194546794,0.15384615384615385,0.1550288276745676,0.2,18
Scanpy wilcoxon,0.122,0.08661971830985915,0.8601398601398601,0.8601398601398601,0.04421518054532056,0.9557848194546794,0.13986013986013987,0.15738963531669864,0.2,18
DELN,0.6933333333333334,0.23404255319148937,0.825,0.825,0.6776119402985075,0.32238805970149254,0.175,0.36464088397790057,0.2,19
Scanpy t-test,0.126,0.09155429382540808,0.80625,0.80625,0.04477611940298507,0.9552238805970149,0.19375,0.1644359464627151,0.2,19
Scanpy t-test_overestim_var,0.126,0.09155429382540808,0.80625,0.80625,0.04477611940298507,0.9552238805970149,0.19375,0.1644359464627151,0.2,19
Scanpy wilcoxon,0.12533333333333332,0.0903271692745377,0.79375,0.79375,0.04552238805970149,0.9544776119402985,0.20625,0.16219667943805877,0.2,19
DELN,0.8933333333333333,0.5217391304347826,0.7719298245614035,0.7719298245614035,0.90895410082769,0.09104589917231001,0.22807017543859648,0.6226415094339623,1.0,0
Scanpy t-test,0.08533333333333333,0.08785175017158545,0.7485380116959064,0.7485380116959064,0.0,1.0,0.25146198830409355,0.15724815724815724,1.0,0
Scanpy t-test_overestim_var,0.08533333333333333,0.08785175017158545,0.7485380116959064,0.7485380116959064,0.0,1.0,0.25146198830409355,0.15724815724815724,1.0,0
