,logFC,logCPM,F,PValue,FDR
BLNK,-6.403939518687373,5.641167054833477,294.5641152500556,1.6695560487266392e-13,1.1743809024565792e-11
HHEX,-4.920572504609653,5.617305317291457,377.6747085415222,2.3607402834268106e-13,1.5928866818383054e-11
FABP5,-3.994456021322995,6.640025372403799,401.0737122575457,2.604968496616853e-13,1.715399467453013e-11
TNFRSF13C,-5.475798230345404,4.195679881040572,220.0954634052298,2.748046595561219e-13,1.771917544429578e-11
GNG7,-5.82701441736772,5.201735052640917,326.77274860720644,3.490766941375841e-13,2.1281456635044826e-11
HLA-DRB1,-5.620778250528158,10.663003422579548,384.33013375569357,3.5067989931737836e-13,2.1281456635044826e-11
ARHGAP24,-6.876150415926379,5.207669388231782,217.29728221939683,3.9189633460630657e-13,2.288526708691545e-11
BASP1,-5.771166011336825,5.130832372595066,274.41470421807594,4.386264822025731e-13,2.5139795600314146e-11
EBI3,-6.568661431455991,4.500520080402536,216.9480080512147,5.302443873907915e-13,2.983829779953636e-11
BANK1,-6.516507881498033,5.4663183044263794,245.3000350045478,5.749482761226389e-13,3.074915650595909e-11
LYN,-4.346311167884708,5.253489988494695,346.5692574841824,6.043783690548363e-13,3.1704255122452857e-11
BLK,-6.378046929556964,4.633597465345326,201.87905444817193,8.266935163920633e-13,4.1268006987636063e-11
HLA-DQA1,-6.696479740774534,8.904714917471711,330.4942675896806,1.1268219089338149e-12,5.535736203412948e-11
SWAP70,-4.963478047374518,5.2211160155378,286.3471370102099,1.2704980141619296e-12,6.144048990361206e-11
AC006129.4,-6.344037824209177,4.064158856926613,173.52989847133455,1.420780955420619e-12,6.76510316465664e-11
BTK,-6.175818591018703,4.704461428632958,183.69405153945075,1.61157417647376e-12,7.47533122423561e-11
MIR155HG,-5.097860082631917,7.454348070428679,308.10769787420094,1.61824617778283e-12,7.47533122423561e-11
MS4A1,-7.337677932360762,8.149459989525143,295.76368245839757,1.7991167486088838e-12,8.188626966094846e-11
HLA-DQB1,-5.829735905442302,9.016892696582234,315.1778893109725,1.8360857876924694e-12,8.235776105664048e-11
SPI1,-4.149761856200043,5.541631530821312,292.72231344482896,2.6892571798220867e-12,1.1247636448039672e-10
LAT2,-3.9069981153211257,5.405048573969624,284.9373713034411,3.298051178059375e-12,1.343087946854443e-10
HLA-DPA1,-4.528399991973157,9.806641983044592,285.6258651662635,3.970359888695484e-12,1.5754184430144262e-10
ID3,-3.3695037225830413,9.21791052556351,280.20840007296766,4.625482179145191e-12,1.7458374810310201e-10
MEF2C,-6.388380505324446,5.134520645107531,179.0286754083948,5.166567614919542e-12,1.9036341390685693e-10
TPD52,-2.5908678678757133,5.948776315538461,258.9168808198793,9.079437599981792e-12,3.2299838358555916e-10
PHACTR1,-5.472103195455282,4.648716544004225,179.76152738864005,2.0631194590971513e-11,6.865972823554498e-10
CD37,-1.7255114642143008,9.431709386372255,232.0282873245599,2.115262786998966e-11,6.905572695447233e-10
TVP23A,-5.987604584688517,5.132268897952843,181.22917804028987,2.164244928030942e-11,6.972551616250331e-10
PRDX4,-2.2867880384808896,6.62354133347376,231.1785217186985,2.2077869414944505e-11,6.972551616250331e-10
GSTP1,-2.2512339362686746,9.264450456351181,230.1492717298399,2.257744848563618e-11,7.058303339701412e-10
REL,-2.8045554938190236,7.406772065023468,228.20956471805977,2.439848066438989e-11,7.551329765628671e-10
HLA-DPB1,-3.7713848693768246,10.012423439061218,223.44462600762893,2.861977763447225e-11,8.770119978088278e-10
KIAA0125,-5.943559185440098,4.125575462237299,135.4931938572745,3.0206274132500704e-11,9.165531219616635e-10
SNX8,-4.574305099079201,4.388923831451965,182.80801523574993,3.2876865013226314e-11,9.8790191471782e-10
SMIM14,-3.06970140985175,6.63984616209887,219.0990763286861,3.418230512027311e-11,1.0172522533388968e-09
CD83,-5.047814588580092,8.904227863048932,217.35096713871386,3.6593520142593403e-11,1.078637569917396e-09
ALOX5,-4.616341406540341,4.238672321501201,169.59500206973965,3.8399132653817e-11,1.1211822222977698e-09
TYMP,-2.269617929232079,6.9037591486300665,209.20422512473644,4.8629337481383945e-11,1.380805500044801e-09
MTSS1,-3.8513895915358947,5.038423257051875,197.34910826769467,5.6807395249156757e-11,1.5839539486138754e-09
TCF4,-5.403503205215941,5.104436143606291,163.29459224129047,7.438218294557813e-11,2.0018509236222984e-09
ZFP36L1,-1.5771454234051556,8.45318472457258,195.4358340578715,8.311434995389019e-11,2.2175768371318113e-09
TNFRSF13B,-9.347141243499875,5.329093694580632,527.2395050298643,9.637714852856854e-11,2.5494638862899115e-09
STX7,-2.6848540978418844,5.500277079070568,189.94587076598722,1.0641916457470541e-10,2.7912484267687563e-09
LYL1,-3.4256031951593946,4.71182743290988,174.45168755775444,2.0152301385404875e-10,4.950108951414928e-09
SMC6,-2.3386375715487815,5.654690894349067,170.37499199200096,2.1037147295353288e-10,5.126769360560506e-09
CMTM6,-1.5733023058388858,7.2739179495046535,161.9453267245587,3.6506055354346255e-10,8.758623358271448e-09
NME1,-3.030124278244831,6.570265550844517,161.73560368356414,3.7697571926814997e-10,8.906411077365835e-09
LY9,-2.268967300005931,6.8639044852449596,157.34705434092194,4.5763847649656015e-10,1.064955702824702e-08
LSM7,-1.5119255753974514,8.038913357704466,156.83410100981584,4.677215494111158e-10,1.080297160766719e-08
BTLA,-3.002749568972259,4.959963254257492,145.98966020722472,6.900433547225409e-10,1.536463440910981e-08
CD19,-8.806499563904392,4.7573940701892266,366.4785327470419,6.990276227822956e-10,1.5453503517937176e-08
CCDC50,-4.0781084218251875,4.892257461413647,134.24219535603225,7.836236529771404e-10,1.720081706357624e-08
LAPTM5,-1.1385010921335348,9.89326559431171,144.5735908857052,8.774183723403674e-10,1.8990278757996062e-08
DAPP1,-2.744444672998621,5.286775752520965,143.70282296658743,9.370418859608895e-10,1.9909712512335444e-08
IFNGR2,-2.6813220405416347,5.970151728217654,143.75317103344938,9.391980700487802e-10,1.9909712512335444e-08
ORAI2,-1.8933735104259375,7.018912016357626,141.68373154401087,1.029326801793226e-09,2.151481472844139e-08
FCRLA,-8.756407103346799,4.735210664638179,340.82463420363894,1.0357697559088102e-09,2.151481472844139e-08
PKIG,-3.3713993615068008,5.444897054589825,136.2932146887271,1.1131303901024626e-09,2.2815487134881602e-08
PRMT1,-1.7038008113915588,7.50141706573674,130.64585949995475,1.9186225766502813e-09,3.7822527864538986e-08
YBX1,-1.0579867792873063,10.658195844169098,127.59130581725819,2.2857638597096067e-09,4.4215244661257705e-08
CHMP4B,-1.6146741769833903,6.706073330677148,121.307692549063,3.382456668361673e-09,6.344668720351138e-08
CD70,-4.809805229856307,5.059168684476487,102.80484333786895,4.260578337073248e-09,7.943668646531145e-08
TAGLN2,-1.2848177867625745,8.565016584920889,115.20146026270122,4.954521175555438e-09,9.127525618061952e-08
CTSS,-1.394864554860454,7.309329230591393,114.43014893285127,5.242224005297321e-09,9.600404317393614e-08
CD82,-2.0250920483321173,6.502307134897298,111.20195710413914,6.481663651064329e-09,1.1529166091979367e-07
TALDO1,-1.145030687958716,7.929652180209141,108.50825893185201,7.765837283822807e-09,1.3579246549961349e-07
DCTPP1,-1.906798100515962,6.595566069225022,106.74369457090324,8.859571237625538e-09,1.5404703921601708e-07
CAPG,-2.365619984438678,6.123003004258818,105.77315409184709,9.585338007835461e-09,1.6390398416713123e-07
ATP2B1,-1.6401764374045833,6.5719258047272,104.93422089055827,1.0004558132566879e-08,1.6920277278849448e-07
PARP14,-2.0921880959914527,5.535134598613587,104.55631500962475,1.0370986508228653e-08,1.725709851772456e-07
GALNT2,-2.6158911590133607,4.801913990465751,101.35577756375828,1.2296823880987005e-08,2.0030878900870938e-07
SPIB,-6.189799854217154,4.536280742501463,74.87517914346657,1.2369809177623798e-08,2.0044271939657408e-07
BCL2A1,-3.348649938500992,5.228463752209038,98.12814216468142,1.3975141672542497e-08,2.229539354459744e-07
IFT57,-1.5467507578959918,6.240941632558183,100.01979718256766,1.4466753834118938e-08,2.2844185263570465e-07
SNX2,-1.8061885248321463,7.33553350128848,96.77504416992024,1.8132495795855705e-08,2.8201042456368547e-07
PTPN1,-1.6514086054175041,5.916277942739327,93.92889557498061,2.3011920275612794e-08,3.543377773782169e-07
PRDX1,-1.3429217013063852,8.585792401921102,92.9436306274009,2.4355212618964125e-08,3.7132701012657127e-07
NFKB1,-1.8674380354347693,5.775629388922887,91.28136453233847,2.8469552586369482e-08,4.298208061210417e-07
POU2F2,-2.3180276788026917,5.574417366960704,90.99121128517726,2.9007628725368438e-08,4.358184995389093e-07
C7orf50,-1.9648017858511533,7.08256451075014,89.69315387133389,3.1744175109945614e-08,4.7454646164212006e-07
CDC37,-1.3897013332436088,7.928080788569993,89.57599355312904,3.189197545123133e-08,4.7454646164212006e-07
PDIA6,-1.4256541306337556,7.985040285085241,88.01339309910693,3.6246461532493314e-08,5.367598011629991e-07
SLC50A1,-2.079364300978944,5.5811335491064575,87.40426608165531,3.876100784812625e-08,5.712634251902416e-07
NHP2,-1.2252161012810994,7.689969412683712,87.01939452016698,3.9357700539486776e-08,5.77308451041287e-07
METTL21A,-1.5382247821938824,6.144708654482466,86.94268059757303,3.9857513510450223e-08,5.818820958247333e-07
NFKBID,-2.6381533898780916,5.04962860327824,86.04049100394498,4.093031648107192e-08,5.947386361921013e-07
YBX3,-1.9816943151258584,6.258865200775551,85.93123484276202,4.357318303188215e-08,6.272511696915128e-07
RANBP1,-1.0958068475311546,7.943746712716539,85.27888845080167,4.553969972236846e-08,6.465383974345431e-07
MCM5,-2.158695446603387,5.371597491096615,85.23812179000265,4.704312842332351e-08,6.618112839553921e-07
BCAS4,-1.7950671484279739,5.4731458169469285,83.481550811432,5.4411430558973825e-08,7.55172096771408e-07
CLIC1,-1.3987489096213026,8.891488562152253,82.822492791427,5.614527284418216e-08,7.757572296997491e-07
SQLE,-2.041170340596921,5.290143390952321,81.0854354781987,6.719131934660848e-08,9.20164306981209e-07
SHMT2,-2.1495942215248003,5.241370742289934,80.75523106994433,6.853938798368341e-08,9.303921307434218e-07
SNRPD1,-1.1058471352242394,7.528691275551817,79.5028546418978,7.53766643732521e-08,1.009916780239027e-06
NOP16,-1.615037756233245,5.723509188252884,78.11460093338529,8.540643033020595e-08,1.1200546689490993e-06
CCT2,-1.0741508669211797,7.480676507972309,77.48863022675724,9.041587980488098e-08,1.1781471233703655e-06
FKBP4,-1.5370024972923888,6.510112005441249,77.5377336303046,9.059742014932052e-08,1.1781471233703655e-06
GRB2,-1.1609817461144527,7.016074338605749,77.30959078840671,9.197841746173507e-08,1.19110126378272e-06
RPL22L1,-1.9176867007534684,6.392021253810587,76.94138380625128,9.588065625379452e-08,1.2364609629395586e-06
MRPL15,-1.2125932543699034,6.585545038111911,76.26001063198932,1.0159020575231207e-07,1.2886134705057619e-06
NFKBIE,-2.3130735069434682,5.034348262978108,75.74868364229143,1.0618531850123481e-07,1.3414022888217215e-06
DDAH2,-2.0252598322757,5.093063931484995,75.27142721978315,1.139620827832857e-07,1.4279864219201184e-06
FTL,-0.7693615257051815,11.790221049261547,74.85159715326732,1.153660086953047e-07,1.4397491810966454e-06
CYB561A3,-1.8181139556560122,5.524623704259005,72.2198015983235,1.5215810403934395e-07,1.8687671904832124e-06
PARK7,-0.7996259505362026,9.002769242820461,71.35651734557496,1.6151111658569977e-07,1.9603015915009442e-06
VOPP1,-1.4582674297075593,5.855516026271236,70.1411501730047,1.8496820291387423e-07,2.2275353619394583e-06
RCSD1,-2.028866935226536,5.873059522030418,69.80420209741254,1.9171422898283731e-07,2.2909480258759905e-06
H3F3A,-1.3349966653940544,5.901909560502608,69.31182040883618,1.9961945194906874e-07,2.376239245316799e-06
HSP90AB1,-0.9600778027365239,9.874803653616137,69.1300792598898,2.0145189799567846e-07,2.3888644609066085e-06
PKM,-0.9988194178752546,8.971460536001922,68.88144963974663,2.0658911662702204e-07,2.440432503666539e-06
ODC1,-1.368290625095651,6.315557542059918,68.81213372376081,2.0900311555059498e-07,2.4595613788178383e-06
CCT5,-1.09109842268024,7.853551188423864,67.08136504426206,2.484557037015051e-07,2.8806378329977506e-06
DDX39A,-1.3575940598318483,6.940798490700158,66.53111859307387,2.634003854157804e-07,3.0418813166486583e-06
SNRNP25,-2.061340620183797,4.974542409954774,66.13718519695144,2.706878731086931e-07,3.0914353035845205e-06
GRN,-1.9398703417763967,5.241450866090019,65.55696431180287,2.9817359766960305e-07,3.3803929845693093e-06
SRM,-1.360683957350216,7.018528288937461,65.31363098835327,2.994473815534869e-07,3.382443963168036e-06
PTPN6,-1.8031854220415964,5.819459464264849,64.6171464605102,3.2684241811017995e-07,3.6651350871413298e-06
KDM4B,-2.217846110763619,4.950751002048492,61.91105400780656,3.661148830320891e-07,4.061381946180344e-06
EIF6,-1.035652957626703,7.765903024425794,62.05794148178566,4.241783757675581e-07,4.688685975002115e-06
ANXA6,-1.214022389749773,6.35365632232498,61.67006752228091,4.491756639621643e-07,4.947326263213162e-06
LAMTOR5,-0.9070027752750465,8.182563388648877,61.31574905578116,4.599889933486375e-07,5.048460760333451e-06
MRTO4,-1.5262574304165732,5.654906482214339,61.27704049829954,4.679279904761503e-07,5.099426515928469e-06
SMARCB1,-1.1953578448453204,6.286148536434416,60.36124032540989,5.172707239543841e-07,5.60765745181498e-06
NCL,-0.9880684217284478,7.618185297173022,59.56776061532094,5.599367818921341e-07,5.9758770343315695e-06
PXK,-1.7164106142700868,5.444699152989602,59.03843781543516,6.039252192645167e-07,6.379346599398223e-06
PARP1,-1.0980068328761634,7.383558096663819,58.23778644333062,6.522535592196103e-07,6.866410767975149e-06
KYNU,-2.5805430924067823,4.623086123576844,56.87638319588364,7.4999286919258e-07,7.841986250510254e-06
ARPC3,-0.7183620488127502,9.499858050393104,56.969230733159854,7.549469784707333e-07,7.86720841200983e-06
SMS,-1.3827174450782167,6.155074888769371,56.9220232034411,7.625710685193507e-07,7.919991466669095e-06
RAN,-0.7848077493565234,9.473309572592958,56.49336184535407,7.985118906965301e-07,8.237981005685869e-06
SFT2D1,-1.1576766650027996,6.840068208030851,56.33955484087158,8.192831107273252e-07,8.42419012525273e-06
SLC25A19,-1.5626583799175036,5.247461440512817,55.001074019506994,8.951484267151091e-07,9.135120207846349e-06
CD47,-0.9259406606500631,7.949994104539578,55.5180665922988,8.97278366134181e-07,9.135120207846349e-06
PSME2,-0.9235411814073873,8.97898311400868,55.39732895710208,9.100337253326773e-07,9.234604524277496e-06
KPNB1,-1.2814669382784056,6.006838596315439,55.29324573960695,9.344367718109721e-07,9.420461917768595e-06
POLD2,-1.2164169540272198,6.477996556421169,55.04730561457127,9.543293567759877e-07,9.589770646823644e-06
TXN,-1.3315820246387262,8.042597547181073,54.94698219229642,9.62518775010212e-07,9.640762487561831e-06
NFKB2,-1.277882267729046,6.040128103477338,54.99614866686848,9.671659501942962e-07,9.656060051133378e-06
AKR1A1,-1.22752091459712,6.52168118265032,54.66744044129026,9.9760053688505e-07,9.927889587328712e-06
PMAIP1,-1.3846000940428105,7.302226076844643,54.4149908251411,1.0257966956129075e-06,1.017577170808317e-05
NT5C,-1.4746588375373624,5.365437274043308,54.44028964012914,1.0414200423961994e-06,1.0297747703566252e-05
RRP9,-1.5889671149136286,5.079411490282777,54.30211250006719,1.0687445575964696e-06,1.0534281547009788e-05
ACTB,-0.6744755616446236,11.593547047694921,53.502889677411844,1.1456582985857125e-06,1.1220925424439177e-05
PLEKHF2,-1.3551933313633195,5.837743110297496,52.47225331221444,1.321508830960243e-06,1.2821535522952827e-05
PHB,-0.8332477169920335,7.6532001505240155,52.211478376267586,1.347310609207497e-06,1.3031019798428762e-05
C11orf31,-0.7924375680109581,8.206432432858156,51.37259626702323,1.4969083451696238e-06,1.4387985491614862e-05
WDR46,-1.1404146732375007,6.26024402110433,50.313951432991665,1.7255327973902707e-06,1.6483098789885456e-05
PHPT1,-1.4236065705759722,6.012339934148755,49.830706798769356,1.8495079054453884e-06,1.745191148583377e-05
FNBP1,-1.0438430354639123,7.452468708566242,48.85757414649369,2.0782609955507507e-06,1.948291529776662e-05
EBNA1BP2,-1.393008582374103,6.201011239417795,48.50079698927916,2.1970114292818898e-06,2.048117582417906e-05
ZNF593,-1.5165131764448112,5.554936764836889,48.377911574307745,2.2235406353222593e-06,2.0666241040007186e-05
ATP5G1,-0.8648826206159349,7.380384493812027,48.2589118260731,2.248519207824054e-06,2.0835829186273794e-05
SPINT2,-1.416666965724602,5.869981354192423,47.81273411018235,2.404156777766398e-06,2.2211537991602993e-05
LACTB,-1.3686399981179747,5.961227269718015,47.14522555535518,2.6109264653976905e-06,2.3978686677762174e-05
NUBP1,-1.1744919126941824,5.72573225956664,47.062926873950914,2.6577728809075218e-06,2.4336707297067393e-05
LMBRD1,-1.5028358945863594,5.544890424983579,45.93847662898735,3.096958543431242e-06,2.8108758627330483e-05
ATP6V0B,-0.8647715818212922,7.981857441667991,45.41766395236853,3.311441849924356e-06,2.979335036487175e-05
EZR,-0.8303343546001768,8.668225793126126,45.15598820084923,3.4332391459149273e-06,3.071062183990376e-05
JUND,-1.3445144434024012,5.765430765397236,45.00247447109967,3.5340874181850276e-06,3.152161544461861e-05
CNPY3,-0.826453126137055,7.042749052811596,44.50297762385127,3.7712862626197017e-06,3.3253934423954346e-05
ISOC2,-1.4421392185247721,4.928542969716756,43.77656015227739,3.963231468190034e-06,3.4503197395359774e-05
CKS2,-1.4955381768003524,6.250653627994965,43.970516890676365,4.0748493141922726e-06,3.512996832151834e-05
DTNBP1,-1.280467075582689,5.956905821317128,42.77871553332141,4.873341760448054e-06,4.121036270105663e-05
DCAF13,-1.2318647486916592,6.323194924596625,42.67343340226494,4.9296970616935e-06,4.147675363137576e-05
TMEM147,-0.8403665798738273,7.347115165612886,42.077911957226874,5.3520633896647456e-06,4.462402523529988e-05
IFNGR1,-0.9962568961967897,6.857821216617186,42.06797861879972,5.363533889347837e-06,4.462402523529988e-05
GBP4,-1.832042363751432,6.386660797118654,42.0938351787827,5.391771040058618e-06,4.4738689997269225e-05
PRDM2,-1.3769101969943995,5.518788552520863,41.80474801644109,5.62299267507297e-06,4.604011198240964e-05
RPS11,-0.6155253983099706,10.318867312872829,40.938146359549265,6.337555941899167e-06,5.161772536888927e-05
SIPA1L1,-1.7474731219054422,4.776273863745341,40.04580175416879,7.344318833292786e-06,5.950133550510744e-05
SLC25A5,-0.6771006906721695,8.719607208405531,39.42574843144356,7.986878206277596e-06,6.387438772203917e-05
MRPL12,-1.3718420711668724,5.81537822848903,39.29341982669055,8.206655704659315e-06,6.546288506680562e-05
NOLC1,-1.410194203185098,5.570331378643521,39.1910128440943,8.384236307372204e-06,6.636626949185926e-05
DCUN1D5,-1.1325520561440017,5.540558532877835,38.958610065355856,8.697745890846463e-06,6.843724110609766e-05
EXOSC4,-1.4153558752451902,5.202680684195756,38.9827742844954,8.712204522068652e-06,6.843724110609766e-05
NPC2,-1.042750365521905,7.413947947658195,38.74526227742126,8.885161690100887e-06,6.961917830598037e-05
BST2,-0.815054004877464,7.453657849134495,38.70886159876847,8.945231714275065e-06,6.991285897899324e-05
NAA10,-1.2764724490083956,5.925498187585089,38.68524028299692,9.05406393204484e-06,7.058520873974504e-05
LYSMD2,-0.7076911934168675,8.27056196315303,38.4717539457573,9.272566863084788e-06,7.210702120916437e-05
ISG20,-0.7419083230912414,9.469499780190793,37.95253784174438,1.0064054230668064e-05,7.748320359183498e-05
VDAC1,-0.9226766677267698,7.071104907668332,37.91100929936309,1.0151258587814345e-05,7.796065838532357e-05
SQSTM1,-0.8097130917561468,8.001288411498367,37.645019952307585,1.0575085093448841e-05,8.061548858183291e-05
SEC11C,-0.8620012411789808,7.455494422511918,37.230783697045695,1.1314455317115536e-05,8.561916676399165e-05
GLA,-1.7450042911403258,5.470121381294558,36.6275642282091,1.2542441879836572e-05,9.411317694381875e-05
EIF5A,-0.8505117755387239,7.800864291638243,36.51784385956488,1.2734828525641156e-05,9.497420310086598e-05
HSPA4,-1.0386521549680703,5.817193440618145,36.354729099772364,1.3149307001862816e-05,9.716705222770321e-05
CDK4,-1.110342411135099,5.819893459585577,36.0094098821223,1.3929965165138363e-05,0.00010265057663357912
CCT6A,-0.7555736132149913,7.574462086092086,35.576073735161714,1.4830083162087822e-05,0.00010850852810085535
LYPLA1,-1.1528136624366865,6.096922188324397,35.27124824785287,1.5722941533517333e-05,0.0001147700567128211
CNPPD1,-1.0955095956663743,5.70787441400033,34.884874132212985,1.6745612292402083e-05,0.00012081041968527844
LTA4H,-1.0810414450115209,6.350119445793243,34.756439576960126,1.7135524950541957e-05,0.0001233359295858776
FAM159A,-1.293987564618259,6.135557841584664,34.73338629217208,1.721832954206445e-05,0.00012355223911668993
FAM107B,-0.8134680955097483,6.971730671477471,34.6901175870556,1.7245417543912777e-05,0.00012355223911668993
CCT3,-0.6782792049778824,8.060824176728604,34.4822875911888,1.7822730617424023e-05,0.0001273934209259292
PEA15,-1.7460843014680623,5.144616802833352,34.33902892737524,1.8447562848995288e-05,0.00013065264763762109
MUM1,-1.3298872118383167,5.552038200887616,34.30411607217088,1.8519089891582666e-05,0.0001308597790284209
STOML2,-0.8352234445842748,6.703765180504709,33.78192348882248,2.0162880616383296e-05,0.00014182753524478705
PIM3,-0.9180561568053798,7.504041254682594,33.7190781039249,2.0327878380297267e-05,0.00014266390836058967
ANXA5,-0.6987820022464878,7.7666205036826765,33.63437244461212,2.062223707970284e-05,0.0001444023162028966
MYC,-1.1951405320919442,8.003244200831785,33.586336950687766,2.079079621843982e-05,0.00014525398260964163
YIF1A,-0.8460613951057994,6.790366415481083,33.45951537553115,2.1335366077884604e-05,0.0001487228784032722
PRELID1,-0.7106647944976151,7.605302073102615,33.06926545020264,2.2753715266133672e-05,0.0001575452992140575
FIBP,-0.9232729830953595,6.190323078641328,33.04562204836195,2.2956512180149196e-05,0.0001581456421779633
SIPA1,-1.3364791324793421,4.878087661167629,32.92214551558285,2.299371210988158e-05,0.0001581456421779633
ATP6V1F,-0.5693880285843539,8.595282514172496,32.982681541313376,2.3091091007193006e-05,0.00015846325203384113
AGPAT5,-1.3213934224378994,5.258368248736709,32.43158243615706,2.559299674854039e-05,0.00017219635855811414
PPP1CA,-0.6033841528001986,8.41036666223047,32.15839995169966,2.6720052123712435e-05,0.0001777736651006658
BPTF,-1.202583948210543,5.519629631398939,32.21393684651502,2.6766567992539664e-05,0.0001777736651006658
EIF4A1,-0.6021519090985554,10.028313662643619,31.610134010090277,2.947662246938594e-05,0.0001949362105614305
CXCR4,-0.49122405263438923,11.344157407528957,31.57991925379221,2.9636707463043133e-05,0.0001954655852347513
MTHFD2,-1.1060795953132305,5.601117513247648,31.61597024230678,2.9682980633387113e-05,0.0001954655852347513
C20orf27,-1.3863876678659999,4.96031739450995,31.4849442659423,3.058790331246283e-05,0.00020099694427191606
KPNA2,-1.2394249983737322,6.457834141425375,31.27614850750003,3.1444901937578374e-05,0.00020619061757797685
CD63,-0.9661227190438724,7.791143382524114,31.23563099690275,3.156264875648335e-05,0.00020652515412540373
C15orf57,-1.082093984851077,5.971993862222276,31.168458578103902,3.216614884251124e-05,0.0002100300225054268
CCT7,-0.6671561270228187,7.553698963811767,30.90492985582545,3.3535464248115804e-05,0.00021713862311280004
TMEM205,-1.3879629359710501,5.850513329790048,30.903426357310202,3.37780476252604e-05,0.00021779803625037694
RGS2,-1.0412050476748649,8.354610414978216,30.72642191549215,3.463614487609289e-05,0.00022286667025261435
DKC1,-1.1071731451837572,5.957750389215362,30.357519739779985,3.7327586615516644e-05,0.00023869603424591737
CD58,-1.0655477108611984,7.119733476359562,30.290549784814683,3.7574027025745116e-05,0.000239776522978724
PLSCR1,-1.1996454162004724,5.527694432623253,30.142106343946967,3.8440172902550504e-05,0.0002447990434843494
AK2,-1.2056846433189206,6.11388513242088,30.146823968960373,3.8808494835175993e-05,0.0002461317449075199
MRPL3,-0.8557018928996581,6.655805259741593,30.069544605266614,3.9249099439872755e-05,0.0002479101280947065
BZW2,-1.3132034911851944,5.773816042858254,30.047110345493476,3.9697815576967726e-05,0.00024921853795276897
TOMM40,-1.2426910748591924,5.977955777513155,29.70403563374099,4.2212719515410985e-05,0.00026287628762249597
PSMA4,-0.6320445937875977,8.04997264874379,29.586815352323487,4.284194451024222e-05,0.0002662566631710837
ACTG1,-0.523013120763106,9.650964131637194,29.427815956478845,4.413636566887384e-05,0.00027278876193693015
OAZ1,-0.5470645931491631,11.055030700382211,29.141378379984594,4.660338624058546e-05,0.0002867544342238807
FAM3C,-1.5994729907623702,5.25615442779137,29.098877239672696,4.750069885503047e-05,0.00029169575983396687
ERCC1,-1.3743516351495777,4.907589637400421,28.849817923576655,5.005895014605548e-05,0.00030679693208325094
ENO1,-0.6235559717842913,9.320516622143042,28.47781555692842,5.294489270565506e-05,0.0003194343475185612
GGA2,-1.251231466325786,6.443497252070706,28.49027732175725,5.294663013797153e-05,0.0003194343475185612
SDCCAG8,-1.130816610258359,5.343474656483474,28.421152944413382,5.429360634753568e-05,0.0003269235635128851
PSMA2.1,-0.6390140083511325,8.30828733500876,28.11812079628499,5.6791618752775523e-05,0.0003393244402313518
LSM4,-0.786619164433562,7.311721802194397,28.10893934708429,5.693910150836163e-05,0.00033955013327240704
REPIN1,-1.2583606108792673,5.211791794853388,28.01246090234871,5.7115431308737584e-05,0.00033994665365489
TGIF1,-0.5909177356263794,8.039672205898459,27.834932432671785,6.006689689513731e-05,0.00035546280284980874
