,logFC,logCPM,F,PValue,FDR
FAM105A,4.120104863902758,5.974294822466147,176.9259127146247,2.6793929208811822e-12,1.1247636448039672e-10
PITPNC1,4.2061893095555325,6.341790866914225,184.90991046818243,3.294439162076696e-12,1.343087946854443e-10
GZMM,4.868816099465017,6.30914429762197,178.74910408543286,3.620268540029198e-12,1.4551598871935544e-10
DOK2,3.6086782751786255,6.517170347220592,204.011965361785,4.121306823471043e-12,1.614613242866187e-10
CST7,4.497703262829219,7.433880545729907,192.90843906158523,4.3013301939902755e-12,1.6640771187999878e-10
PRKCQ-AS1,5.068189479942419,6.458586767104463,172.2641393656262,4.548984966379062e-12,1.7381615396226166e-10
SH2D2A,3.8533689424515414,6.778933460719043,200.4558586324009,5.002517469948772e-12,1.8653965746375239e-10
ADTRP,3.683532038302617,6.100185662541578,174.95634517552713,6.745062600531918e-12,2.449355749908902e-10
CD8B,5.4759083441089915,6.9119721372754706,187.60429721043008,6.805964280845413e-12,2.449355749908902e-10
RGCC,2.5044973241051767,9.556077346288106,257.6415796030906,9.226887823185097e-12,3.245138387813395e-10
AQP3,5.63213395924001,5.985153744368978,184.23857205031547,9.597134934424798e-12,3.337430631690421e-10
PASK,3.420097365283058,7.2104850191725465,168.4711000769732,1.1688308997032764e-11,4.0194795939796e-10
CD96,3.4660580523773956,7.193215160213035,224.00726798456466,1.2859304771974916e-11,4.373576732885975e-10
PPP2R5C,2.3275606344741484,7.74326860272048,238.55240819152016,1.701654842641433e-11,5.724588845625256e-10
SLFN5,3.996139715871979,6.9206029222186976,179.31412996787887,2.1196426690387306e-11,6.905572695447233e-10
GRAP2,3.598987952298567,6.124691038651019,168.9266769843884,2.1960436683355205e-11,6.972551616250331e-10
CXCR3,3.418702904796455,6.653349516867197,160.5570828322303,4.1151177404669023e-11,1.1903074211911273e-09
GPR171,7.0052980564941345,6.414583415217543,246.13516992067963,4.279230270899724e-11,1.2263164526328376e-09
TNFRSF25,4.290801806708448,6.006508773563832,141.22894498638584,5.5897460700105575e-11,1.572751280607516e-09
GATA3,4.888347543250337,6.066129079731122,124.05757200362875,6.008487449687824e-11,1.6603811300699837e-09
FYB,3.70062158954637,6.9545874845063596,149.98663166223,6.366598699499257e-11,1.7437719446858585e-09
S1PR4,2.2681041527961487,7.95221574168151,202.3533517022751,6.566218559501093e-11,1.7826707404961301e-09
CITED2,2.4082512742686353,6.8297775733882595,183.52098873650314,1.1181304899976085e-10,2.9080788794475618e-09
PRKCH,3.8257136546288106,6.346779128865228,137.2390194430143,1.290878100395324e-10,3.3293897672696065e-09
TTC39C,2.961897220824657,6.511677072067203,152.69277327615137,1.323558636337572e-10,3.3854660987312273e-09
TSHZ2,4.2110048243601295,6.109270906007912,116.44176768449675,1.3564106634150655e-10,3.441058199401334e-09
NELL2,5.18972468180744,6.348648237723949,130.84514544467967,1.3956106266166957e-10,3.511719422259084e-09
CALM1,1.4094276344472816,9.511035645621948,177.30269720294567,1.7928614643126697e-10,4.47492438068364e-09
CCL5,3.8720702720892084,9.581550046886566,172.74055264190528,1.9571195313933878e-10,4.8458279597300285e-09
TC2N,4.278108134115805,5.714789821026994,109.31970305739806,3.003881123513578e-10,7.263290685370722e-09
LPAR6,4.631521080466587,5.748126866539136,113.66673990224507,3.7075928831288807e-10,8.826923056372219e-09
MGAT4A,3.2546267881226534,6.133451764872472,121.96143696093105,4.2078459267783184e-10,9.86612359346886e-09
GZMB,4.678770095293631,7.820632766559556,119.47185282732954,5.84215905048894e-10,1.3309219423294396e-08
RGS10,1.9401992089522664,8.355058551701028,152.88702498037264,5.848316127845033e-10,1.3309219423294396e-08
CMTM8,4.551194164656431,5.8879859080305685,98.2443298872985,6.365568504350082e-10,1.4380609139389419e-08
RORA,3.3622635945484434,6.58636454045819,126.49213393207746,6.8592860935669e-10,1.536463440910981e-08
PABPC1,1.3587797071404697,11.89995510498013,146.41562157667306,7.956305037073742e-10,1.7341383161791008e-08
SATB1,2.9384735327651526,6.316204879049546,124.58241741412155,9.385189460414594e-10,1.9909712512335444e-08
KLF2,2.190628563112908,7.307442360795298,139.37312448646856,1.0302697979152087e-09,2.151481472844139e-08
SPOCK2,2.1869677258401494,7.943805008271407,140.76459009458148,1.0996784087355819e-09,2.269003116691084e-08
LDHB,1.3014173495737877,9.649014715230992,138.33840833320937,1.2328067923633158e-09,2.5102217252397778e-08
ARHGEF1,1.7847574250931995,7.047055238152616,136.36744983829954,1.3481864572230517e-09,2.717643023714292e-08
HSPA1A,2.6106018838202716,6.958623241340367,134.14784088074867,1.3522359471793245e-09,2.717643023714292e-08
OXNAD1,3.7194962942692964,5.739198463258587,92.30797589578101,1.3931204847504984e-09,2.7817470324534147e-08
RNF125,2.785843548414061,6.193035797034598,112.17648725489649,1.7268352956046403e-09,3.425996948651514e-08
EVI2A,1.5145626795564213,8.107934025741313,128.95949682855866,2.1422182092454535e-09,4.19630718836372e-08
HMGB2,1.4197630279277704,7.977739007317196,127.99740725319039,2.2666019893404186e-09,4.412033432080878e-08
SYTL3,3.0103951852148136,5.859077667918091,100.43872056447483,2.4209726056045488e-09,4.6539814995938374e-08
SH2D1A,5.236952812843729,5.5501427128871965,100.03209217769864,2.708973631792101e-09,5.175477401479353e-08
ARL4C,2.903514476543091,6.472304487390482,113.41511727967216,2.857289174333839e-09,5.4253435549467685e-08
S100A11,1.658741112243243,9.133632494046333,123.32351504557695,2.96733536461472e-09,5.599940825294243e-08
UPP1,2.38165701737448,7.057101981833431,113.7038200329938,4.693579151126814e-09,8.698579324992509e-08
AES,2.0040940077475864,7.639084593162178,112.82312496310219,5.385824809678163e-09,9.805369285855244e-08
YIPF5,1.5564379037348766,7.238040292429469,113.1836957210141,5.796939793264467e-09,1.0492122023481594e-07
DNAJB1,1.9415310296525747,6.823437223493522,111.63867203544105,6.132110413610494e-09,1.103423356402586e-07
TMEM66,1.2894670089518459,10.89630911051811,111.70815977744337,6.240499468072814e-09,1.1164361765136047e-07
EVL,1.5689193353843942,8.103305096399785,111.26141497730292,6.564300695793259e-09,1.1547270722689846e-07
S100A6,1.2191392574279811,9.007121981356455,110.9766900393717,6.566460895616843e-09,1.1547270722689846e-07
SYNE2,1.868652275658281,6.706413380587173,105.26618762310915,9.172350911497708e-09,1.5859455905634306e-07
ITK,4.720663667591357,5.47868778167356,86.84620483719438,9.24849015268123e-09,1.590226501252689e-07
PIK3IP1,1.5243864871691122,8.279440863653285,105.47015690566899,9.744032251750368e-09,1.6570208691850215e-07
RNF166,2.364746886277876,6.198873373963548,96.99340080774726,1.025001419274741e-08,1.7241192351387626e-07
TECR,1.6718798009147982,7.041148311259379,104.87391084095535,1.0351676500208678e-08,1.725709851772456e-07
TCF7,2.3689758371955807,6.320517446354573,91.82640825989391,1.0767758707577363e-08,1.7821504385001038e-07
FLT3LG,3.5623208419115393,5.712345678285781,76.42458838017806,1.1160313568975777e-08,1.8372963029776612e-07
SELL,1.5847282063869081,8.730092642896876,102.52392838051846,1.1907295763834569e-08,1.9498984332840207e-07
HOXB2,2.779343660797721,5.930004651821625,83.64788705230919,1.2699060797660587e-08,2.047062144206225e-07
NGFRAP1,2.8658136562105714,5.9164505473821976,80.98610895086667,1.3959820922316166e-08,2.229539354459744e-07
RCAN3,2.3894552531629167,6.191726910615021,92.24625088121556,1.4077599514035679e-08,2.2343677177405347e-07
NDUFS5,1.134450686636719,8.575572248758851,98.26103891790615,1.6223243036643602e-08,2.548778537990454e-07
PERP,3.608900556886883,5.741870622850821,69.47164119469548,1.6959029242656942e-08,2.650918964950669e-07
SAMHD1,3.559306142095514,5.449091333678333,69.64869846734574,2.04815343867486e-08,3.169517446349346e-07
PIK3R1,2.310541213683132,6.782343719543253,91.96081234198829,2.375590439469099e-08,3.6398279258202283e-07
GLRX,1.7059585976386062,7.009323360819682,90.91889264437687,2.7787004131488654e-08,4.2157244013214407e-07
CLDND1,1.5844355440474667,7.089903815703627,86.03719050587773,4.169923112431895e-08,6.03080001540968e-07
NDFIP1,1.3944559512500052,7.87620058763175,85.82860352039759,4.4203341940360594e-08,6.333765893769261e-07
PBXIP1,1.8303507347422736,7.09711767989562,85.75680410607909,4.489166702940648e-08,6.402751587834703e-07
GMFG,1.2715765226699276,8.454945868581994,85.0942355073125,4.647513866341142e-08,6.568061833938737e-07
FAM118A,2.1590979261640015,6.696404571901696,73.3045153981629,4.76773191074871e-08,6.676982019804189e-07
S100A10,1.6884688305716289,8.701550926166695,83.64210187629115,5.2526944474439366e-08,7.323013204882425e-07
RAB33A,2.7105526139190133,5.509687525225398,65.81748423988034,6.130996887785645e-08,8.433526830087365e-07
FAM177A1,1.5493486328417931,7.764954588360708,80.73874073119156,6.812427367590135e-08,9.288309560657035e-07
DDIT4,1.7616921823440366,8.130629550455433,80.61196644005162,6.905518419218543e-08,9.333004151738599e-07
RHBDD2,2.255396643005657,6.625083158161765,77.08334368894673,7.195825277858631e-08,9.683077928248898e-07
BIN1,1.750669777835209,6.593897240935075,77.77246401870623,7.603643654143708e-08,1.0143653926540852e-06
OCIAD2,1.1568669331669779,8.83648996727918,79.10910492601077,7.816497431933902e-08,1.0382858176753402e-06
CALM3,1.362243868687753,7.531448147523321,79.2415589799312,7.855066108957052e-08,1.0389499832146185e-06
NMRK1,2.4801561409828614,5.514965865531245,66.62478592729003,8.160288008025667e-08,1.074727292971891e-06
BIN2,2.1844851898081523,5.89749222919492,69.47786292545041,9.633535498184141e-08,1.2371698077543534e-06
MCL1,1.1017646696886998,7.76175489587034,76.5511218572479,9.955382414165806e-08,1.2718463308513782e-06
CNOT6L,1.9741869078586696,5.805387334573569,70.86699570341615,9.985740174374311e-08,1.2718463308513782e-06
STMN3,2.4534733935304787,5.689375963179651,64.64871531636236,1.1303209697917001e-07,1.4220908136200456e-06
CCSER2,1.5991176147737787,6.849132648501558,73.2099192729538,1.355625993175102e-07,1.6850049995489722e-06
HCST,2.118214974048579,6.131829089358998,67.16512403618542,1.3919664295232406e-07,1.723254439749772e-06
DYNLT1,1.2450857735450858,7.364005717026464,72.41573588003023,1.4739710040702561e-07,1.8175060787240808e-06
IKZF1,2.008021817416422,6.159975396384202,66.25151057103182,1.5336683759509855e-07,1.8761674401455732e-06
NUCB2,2.2172801198154644,6.515441631446614,64.8023923205971,1.6085196524955033e-07,1.9599875293203083e-06
ETHE1,2.2123101547619064,5.931277057825033,65.66388382954439,1.7488744032715682e-07,2.114361827392775e-06
ARHGDIB,0.8720629743859906,10.439501258154976,69.8487110221896,1.8746859731988847e-07,2.2488965453684295e-06
EML4,1.7046934032021321,7.155580030727584,68.7201940444701,2.1207615675860401e-07,2.4862716104843914e-06
KLF3,1.7905235454357398,6.403380212881057,64.17039652663145,2.3303964085642857e-07,2.721727126228855e-06
LGALS8,2.4741902139071015,5.516051450119368,58.35398570398013,2.485073671762195e-07,2.8806378329977506e-06
TNFAIP3,2.03742297549101,6.364869358564214,62.92716402772349,2.647573290688343e-07,3.0461856262752496e-06
GABARAPL1,1.718029752458708,6.44697201623686,66.2161841310455,2.670677188976854e-07,3.0613873703271717e-06
SRGN,0.985439502620462,10.429414641720768,65.9588077571109,2.78917058459904e-07,3.173706970343393e-06
C6orf48,1.0189021214024165,8.559850215432478,65.21332831943056,3.025007879689722e-07,3.404508868232614e-06
SETD2,1.7716311892326035,6.58736520145348,64.27124868656858,3.412838301715414e-07,3.8132615681621686e-06
SUN2,2.292146609067537,5.6814748788590475,54.18864187458354,3.4768575495846433e-07,3.870818027325349e-06
PIM1,1.3726316386836588,7.39364227085863,61.45985757505921,4.619932411191066e-07,5.052540923193056e-06
CTA-29F11.1,2.2490835818828883,5.476086796011876,54.58419562468154,5.198541977545603e-07,5.60765745181498e-06
SH3BGRL3,0.7781606246866707,10.359798747546504,60.21292904573901,5.199992532054602e-07,5.60765745181498e-06
SFXN1,1.7896442328711322,6.004109474147714,55.13053373580685,5.32671335978526e-07,5.72436730851923e-06
UQCRB,0.8405534453999797,8.487660203351576,59.60047373694343,5.581025790502996e-07,5.9758770343315695e-06
ANXA2R,1.6913552109878487,6.795744224739514,57.176778708296155,5.97260940731316e-07,6.352311379943035e-06
ITGB1,2.1515922195505985,5.50152696015677,52.62013910608833,6.009180702059301e-07,6.36931995646354e-06
PTTG1IP,1.7868263739889534,5.6418394561439085,54.858827886244164,6.973536434323229e-07,7.3163034794001335e-06
ASF1A,1.6757723312403254,7.158487778506008,56.59137058096465,7.718103608317659e-07,7.989140691552895e-06
GIMAP2,2.631972366118215,6.647756866125805,52.32898847275425,8.28142949839084e-07,8.48709413825154e-06
ITM2B,0.9022079670791527,9.650207503843239,55.198131283867056,9.321334210634962e-07,9.420461917768595e-06
PDE3B,1.939296016427954,5.517220010870159,47.61049142993958,1.1393294375852004e-06,1.119436383913078e-05
TXNIP,1.0466476040899892,7.35220664687598,52.70947644522097,1.2811834586190187e-06,1.2508715471374962e-05
DCTN6,1.5649869902339493,6.314367528704564,51.821583572342504,1.3073914935988145e-06,1.272445494556079e-05
HMHA1,1.59424002374241,6.461762563267942,50.22609077213961,1.433389145922307e-06,1.3820371983269597e-05
PLAC8,1.5917713467475958,7.092438473170175,50.63311733859336,1.6543116988902283e-06,1.5851686402678814e-05
TIMP1,1.1728368579955624,7.696247371431098,50.19149393349761,1.7547421567136733e-06,1.671054453855021e-05
CD44,0.8971250373492141,9.173474156298276,50.08841996484646,1.7654879081065312e-06,1.6761303912851883e-05
CCDC109B,1.009678372027323,8.271848334347427,49.89020811494794,1.8140822090117743e-06,1.71699829874356e-05
FAM102A,2.227800141347686,5.5252538972859035,44.6650064485539,2.017044628186502e-06,1.8974933508319827e-05
CLK1,1.296821326656413,6.864038717482217,48.75448376173903,2.0836332677094514e-06,1.948291529776662e-05
IQGAP2,2.098697730553849,5.759809195315414,44.083106287589686,2.44326678682609e-06,2.2505686622698655e-05
ARRB2,1.1607819229185963,6.531632812152105,46.53315081016752,2.6789562818870733e-06,2.445831767681561e-05
TSC22D3,0.889369016934331,8.685633149925208,46.48594350067529,2.8575850250342605e-06,2.601242838965011e-05
CCDC66,1.8827310698741437,5.592445900508757,42.33433276434953,3.1895966129790815e-06,2.8864916716872097e-05
CTNNAL1,1.8646802701377165,5.432783857089786,41.69847235206995,3.2405527096685396e-06,2.9240555791323996e-05
YPEL5,0.9021910756857535,8.254414307754873,45.35785568467748,3.3444012549919317e-06,3.0002672128116024e-05
STK17B,1.5706149136870116,5.70985802363085,42.639411044390656,3.5887913170136283e-06,3.191755496022178e-05
RBL2,1.3324414064025454,6.184527228061708,43.272514352400414,3.7114756909329056e-06,3.2914089580049694e-05
PNRC1,0.8084181688629569,7.802207482818551,44.54737723309719,3.7523087294077382e-06,3.318113005004843e-05
PDCD4,0.9487638949073844,7.983349938471094,44.45411689053085,3.8064058468928226e-06,3.346825595492411e-05
GADD45B,0.9574501261397207,7.8792270092636985,44.341664203268856,3.87197595797334e-06,3.394834444738665e-05
CD52,0.8785363742470385,9.185986743982713,44.28033524369914,3.8884289428819655e-06,3.399629259384091e-05
BIRC2,1.672796395485274,6.556940933531269,41.61185725327355,3.968703803795826e-06,3.4503197395359774e-05
TBCD,2.1154658980816294,5.568431690186235,39.99414438632675,4.017499883098068e-06,3.482958582125636e-05
APBB1IP,1.2538236275724635,6.656514625250426,43.8748352754468,4.064354417432998e-06,3.512996832151834e-05
ADD3,1.3875333649498773,6.213282542893975,42.59595720344773,4.223772049149293e-06,3.631270692254739e-05
SUB1,0.7984129675378416,8.658831143441768,43.60164513339411,4.285074628693589e-06,3.6737689683674955e-05
BPGM,1.838303068719701,5.853336855139324,41.18952544744045,4.396892940243738e-06,3.7592220027774505e-05
SNHG12,1.6401426133114299,5.503516349458047,40.20662241680622,4.429355368759982e-06,3.776544040306376e-05
CACYBP,0.8868671439821848,8.457388500693916,43.18343947086735,4.558304268226798e-06,3.875810909385149e-05
KLF6,0.9845149481780864,7.71895741062278,42.84103946767583,4.817450269351286e-06,4.084933858532118e-05
CUTA,0.8270600739444822,8.087419828844089,42.651695286918944,4.9316463122282e-06,4.147675363137576e-05
ETS1,1.7554064859257623,5.72248259008082,40.1595534305801,4.981510815442681e-06,4.1782590714891865e-05
ANKH,1.352554681593084,5.997664329291172,42.0427209052579,5.223830847577279e-06,4.3696639116896426e-05
CMTM3,1.8704745768343365,5.9017645934035885,40.86226023031749,5.435474254714214e-06,4.495167055278473e-05
GYPC,1.201191081908099,6.899531309506173,42.05360710003165,5.446486739028844e-06,4.495167055278473e-05
DYNLT3,1.1746100505607273,6.69476808409747,42.0204758788135,5.499165369914526e-06,4.525975051654648e-05
SOD1,0.6901814481484494,9.38116714523792,41.87243872037703,5.513061694584176e-06,4.525975051654648e-05
ITGB7,1.8049806723980537,5.957481777563256,38.45986139115606,6.073294078649991e-06,4.959589755520243e-05
OPTN,1.9751330538122427,5.820590215478557,38.1317861701318,7.33070159467663e-06,5.950133550510744e-05
SEPW1,1.0350196652063932,7.010016294314087,40.02686791728152,7.3631701125868e-06,5.950133550510744e-05
APMAP,1.1316651359822576,6.736654846061415,39.32783755627173,7.488114140647151e-06,6.0353419961726395e-05
IFNAR2,1.7116551315982014,5.5181815702986885,37.248958895439664,7.555156679542402e-06,6.0735610190087626e-05
LTB,1.017067142664642,9.92278365145823,39.68290493497393,7.675752809592164e-06,6.154522006654857e-05
RASSF5,0.9016564303277311,7.151605914686006,39.27330228779635,8.263122767786075e-06,6.574386880796376e-05
RPS14,0.5435685806774617,13.023884310108345,39.136167378583714,8.35214965791156e-06,6.628180305445201e-05
LITAF,0.9874029913421896,8.194468183245151,38.887689497683816,8.696132976200437e-06,6.843724110609766e-05
RBMS1,1.5820750442682978,6.047251121074604,37.889420847698204,9.34419255765602e-06,7.23220293585403e-05
ZFP36L2,0.6992928656325504,9.559885140185594,38.419647396050046,9.346950482525402e-06,7.23220293585403e-05
ZFAND2A,1.5712725106448697,6.12576089181031,37.942803061394,9.698510625221543e-06,7.485508824204658e-05
ARHGAP15,1.940193671120221,6.187329972295839,36.522457761454184,1.0498048637249847e-05,8.04244072581393e-05
CCNG1,1.1673487770267321,6.903146289580003,37.66493467194348,1.053758840771847e-05,8.052799042441645e-05
TNFSF10,1.842773542791014,5.5772789310982045,34.61126178710861,1.1127968447568855e-05,8.462177480399412e-05
CDC42SE2,0.867072995634493,7.520585430511231,37.357799441200754,1.1161241092173993e-05,8.466676759872184e-05
DENND2D,1.3969685865352517,6.292159533241973,37.068360171844105,1.156259830922204e-05,8.728351650498101e-05
CYSLTR1,1.4554608003850045,5.731174599445523,34.85570068684922,1.1827437189562317e-05,8.906549416470892e-05
RPL31,0.5452725911313607,11.843565735035288,36.571740200722694,1.257280801159745e-05,9.411317694381875e-05
IVNS1ABP,1.449578077381073,6.431506733308772,36.662641215390316,1.2588967772129552e-05,9.411317694381875e-05
ERP29,0.678892533907669,8.642278337878746,36.46510090731388,1.2804568437790412e-05,9.526475796865702e-05
PRMT2,1.5274529572117908,7.385122882061461,36.316673332133,1.2913734049173948e-05,9.584653928583542e-05
RWDD1,0.816234002858982,7.734984673035181,36.33163114711377,1.3154440996254491e-05,9.716705222770321e-05
SSR2,0.7652644261569815,8.612132648161364,35.90502310940367,1.40379983014983e-05,0.00010320096138512409
VIM,0.7323118049901113,10.172528261472836,35.75684223899226,1.4379709650820576e-05,0.00010546256248646844
BTN3A2,1.236496323421635,6.678143198275443,35.00309359917326,1.612125093810056e-05,0.00011740063918452055
RNF149,0.863683975786493,6.973005744728561,34.93419622422995,1.6660286742850455e-05,0.00012081041968527844
SCML1,2.4705194657380796,5.270769804421555,32.68707920018756,1.6697527336513994e-05,0.00012081041968527844
CLEC2B,1.1022338621719967,7.36351975356499,34.88058366734714,1.672901843224055e-05,0.00012081041968527844
CASP8,1.1993585922741936,5.988026318132958,34.322817501553686,1.787233531110692e-05,0.0001274536354559353
DNAJC1,1.1878719756842204,6.945446165139066,34.51632962865835,1.7951613757337764e-05,0.0001277247001815181
RASAL3,1.2552902435823794,6.354593314803935,34.061932681278584,1.8126784802272477e-05,0.00012867522697943421
C9orf78,0.7261096917985326,7.803537918624978,33.8977308892815,1.9752234749099506e-05,0.00013925550466620267
H3F3B,0.6141456915149721,11.77650472339224,33.2686841097575,2.1957899831141934e-05,0.0001527184269154703
DEF6,1.3925501585537796,6.048083352949863,32.654492229811545,2.22186666615821e-05,0.00015418559039819863
FXYD5,0.8115688669165558,9.68662279370194,33.03149082193839,2.2892111996128233e-05,0.0001581456421779633
CDC42SE1,1.0594706229078787,6.5625306873498825,32.90004912288694,2.3145276849958438e-05,0.00015848369878456055
JMJD6,1.1422748362423483,6.030087341456025,32.465353956636356,2.332378316882115e-05,0.0001593534412969127
ID2,2.127203430008045,7.045630374166587,32.92705653988704,2.3505844597376222e-05,0.0001602435881693379
ABLIM1,1.4634934399535728,6.061854421595364,32.37708770705918,2.3850966550498862e-05,0.00016223899225009664
KIF2A,1.2858110036674215,6.28698189519283,32.525193592881195,2.4023984120171422e-05,0.0001630575237980933
VAMP5,1.1781983697592622,5.98815873339642,31.570352067786537,2.4210766061167992e-05,0.00016396569137705675
RAC2,0.9181820096339147,7.341939133266721,32.59796420558231,2.4953879868128246e-05,0.00016862938469837757
BAZ1A,0.7315610383699978,7.583216555728487,32.53886208597526,2.5119855772512652e-05,0.0001693811625619317
LIMS1,1.3197935880942662,6.501928277143893,32.446711464381266,2.565638533591784e-05,0.0001722484004656523
CD27,1.482141878705849,7.246590479722609,32.2673788124934,2.5881640162636474e-05,0.0001733845807432032
ILF3-AS1,1.6941684252214884,5.867093297510823,31.106083824459834,2.6294010987353564e-05,0.00017576666091978244
C1orf63,0.718036546579317,7.933787749603464,32.243063165979194,2.6366415175836623e-05,0.00017587080812330678
SIT1,1.712524033234574,5.399505671266539,28.8167596342043,2.858212546029206e-05,0.00018942543533105764
CELF2,1.3351112282237563,6.137589192308626,30.407536856046782,3.261300091898668e-05,0.00021249944809318693
DSTN,0.8892233966237928,6.832307311522429,31.030637990675107,3.2855541100633616e-05,0.00021363004140012823
PPP1R18,1.147212319152269,5.922319671429239,30.35761146880239,3.2953839834700455e-05,0.00021381998802599145
ATP5L,0.5295201656260518,9.40708781324104,30.88404565469437,3.364743057579883e-05,0.0002174087633237941
GOLGA7,1.1135586140095264,6.6904346315212475,30.4704990642467,3.58337936649395e-05,0.00023009458795225676
NSMCE1,0.9498465500052389,7.621486196703986,30.49637084302739,3.6329979997503575e-05,0.00023279769791360988
EMB,1.0229915989508307,6.450530403345349,30.139097118816906,3.864937341781812e-05,0.00024562589471898783
TPT1,0.5320823910094957,11.511990968887568,30.09442101676466,3.893434804459725e-05,0.00024642496359515026
MFNG,0.9397516919045277,6.501852882437204,29.87701604934961,3.946097981171961e-05,0.0002483099206349962
H2AFV,0.8122385847863273,8.408928662771702,30.02567949974637,3.947285329641942e-05,0.0002483099206349962
TBCC,0.6846628578056895,7.459216022261647,29.877278118080206,4.075510297066623e-05,0.0002553381451299838
C12orf57,0.9947701714769531,7.022548795260754,29.75195166798483,4.184955865994968e-05,0.00026166542232837226
RNF11,1.31219688844493,5.588103857830441,28.4080472229194,4.221309045181922e-05,0.00026287628762249597
SELM,1.4788610209206534,5.971763240240039,28.324465561190188,4.2955687656746254e-05,0.0002664285637227047
CYTH1,0.971200256225448,6.593079591224226,29.475947039353258,4.4157405405622624e-05,0.00027278876193693015
MAGED2,0.7339772478011966,7.976064374288699,29.31457489437273,4.520258626448003e-05,0.00027868925196925437
PRDX2,0.7758520049558254,7.139502495158554,28.73690581655116,5.07050481416635e-05,0.00031014253754634095
CNIH4,0.8847573609407408,6.571863191660572,28.491176757181858,5.144862491220982e-05,0.00031407000809327297
HIST1H2AC,1.0532633692903246,7.783010039089912,28.589142623099363,5.204470820813293e-05,0.0003165888164763949
UBAC2,1.1880004884262139,6.360815867184395,28.544370501628798,5.206581828319386e-05,0.0003165888164763949
DDX24,0.642839296601204,7.883091411502558,28.514852880980754,5.2688921516393305e-05,0.0003194343475185612
RPL36A,0.5438012856613014,9.55322625827395,28.48646956733618,5.286025905028359e-05,0.0003194343475185612
ARL6IP5,0.6965826568510617,8.203995260363708,28.331720009765416,5.4531869533265754e-05,0.0003277206528261311
PTGER4,1.2962166385003888,6.694735448926212,28.23603204042973,5.6044281640847756e-05,0.0003361570768961702
